Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'active ulcerative colitis' vs 'normal' in 'caecum'.tStat	condition2.foldChange	condition2.pValue	'active ulcerative colitis' vs 'normal' in 'left colon'.tStat	condition3.foldChange	condition3.pValue	'active ulcerative colitis' vs 'normal' in 'rectum'.tStat	condition4.foldChange	condition4.pValue	'active ulcerative colitis' vs 'normal' in 'transverse colon'.tStat
ENSG00000003989	SLC7A2	17066065				1.2	0.0294727926454789	3.35984588181073	0.4	0.426542180402838	1.11273759315566	1.0	0.00431822045111204	7.05160638998411
ENSG00000004399	PLXND1	16959007				0.8	0.00894366448389489	4.67838749359078	0.7	0.0494484894483648	2.98228253153917	0.6	0.0921247363991834	2.60058517313831
ENSG00000004468	CD38	16965268	-0.1	0.889777620339331	-0.246321876470483	2.1	0.00478282801850411	5.5298168675834	1.8	0.0015140342349441	7.20920006922206	0.5	0.306082990988857	1.45445035325516
ENSG00000004478	FKBP4	16746808				-0.1	0.659657992355001	-0.600673294473557						
ENSG00000004700	RECQL	16762087				0.7	0.0242069205974018	3.55122456041981				0.6	0.0332825306072153	3.70978312852249
ENSG00000004766	VPS50	17048388				-0.3	0.323303461052553	-1.30773445356826	-0.5	0.189882622904277	-1.83007658236489			
ENSG00000004776	HSPB6	16871467	2.0	0.00939940485481975	5.47886440939722	2.0	0.00233660075017989	6.69703035394724	0.7	0.0889707846503514	2.4733791836015	2.0	0.0107141660752937	5.49631564396322
ENSG00000004799	PDK4	17059955	1.1	0.0206748427654797	4.4971297096758	0.9	0.0339942543969878	3.22234615691516	1.0	0.163030202786856	1.95756311277713	0.9	0.0330554375910927	3.71953087503402
ENSG00000004897	CDC27	16846045				0.6	0.0489785040967156	2.88623586352977						
ENSG00000004961	HCCS	17101447										-0.3	0.38365149106747	-1.2336851425677
ENSG00000005001	PRSS22	16823215							0.3	0.468160545228438	1.02184612132688			
ENSG00000005020	SKAP2	17056072				-0.5	0.0450004287510683	-2.95961274762805						
ENSG00000005059	MCUB	16969686				1.1	0.00823730030470757	4.78679973425702	0.5	0.0817079523766727	2.54149913121555	0.6	0.0787962670814965	2.74516244477461
ENSG00000005073	HOXA11	17056181							0.5	0.0895345045787548	2.46715719772086			
ENSG00000005108	THSD7A	17055263				0.7	0.055443567820527	2.77801669280753				0.7	0.0213552170711837	4.33817467328853
ENSG00000005187	ACSM3	16816604				-0.6	0.0464244618727688	-2.93338582298388	-0.5	0.219535414386862	-1.71003115795769	-0.3	0.542163951683998	-0.869641314575546
ENSG00000005194	CIAPIN1	16826767				0.6	0.0550543084508667	2.78422449098753				0.6	0.0672885095975966	2.91740577274039
ENSG00000005238	FAM214B	17093661				0.7	0.0277845389603866	3.41894988911688	0.5	0.0803950403387074	2.55500285353492			
ENSG00000005243	COPZ2	16846163				0.8	0.0286530110474953	3.38648066956304	0.8	0.0108051726251376	4.51490180061911			
ENSG00000005249	PRKAR2B	17050154				0.7	0.0316764791592236	3.29208262779616	0.7	0.083577623011348	2.52370448699616			
ENSG00000005381	MPO	16847034							-0.1	0.712453025862068	-0.539861380402145			
ENSG00000005421	PON1	17059895				-0.1	0.829186787262935	-0.30437183538316						
ENSG00000005469	CROT	17047918				-0.9	0.0108142729856339	-4.43087687786173	-0.1	0.800643771121878	-0.378083128514982	-0.5	0.138739880045915	-2.21230158365405
ENSG00000005483	KMT2E	17050002				-0.6	0.0193376706547738	-3.79795018351757				-0.7	0.0186623529379917	-4.51143899733176
ENSG00000005486	RHBDD2	17047397				0.4	0.118164493317637	2.14114354667863						
ENSG00000005700	IBTK	17021122				0.4	0.156449077305088	1.91318500366574						
ENSG00000005810	MYCBP2	16779855				0.9	0.0211550905966853	3.70647753951084						
ENSG00000005812	FBXL3	16779844				-0.4	0.179690028636524	-1.80242191272308						
ENSG00000005844	ITGAL	16817883				1.0	0.02708848866349	3.44116200279598	0.5	0.354731709932545	1.28593838382921	0.2	0.691990815968522	0.581388465165266
ENSG00000005882	PDK2	16835711				-1.0	0.00396173575817412	-5.81710464867617				-0.5	0.183073824908812	-1.94698319924311
ENSG00000005884	ITGA3	16835672				-0.2	0.474226166029151	-0.950795116244873						
ENSG00000006007	GDE1	16824555										-0.4	0.221232704701268	-1.7650495914034
ENSG00000006025	OSBPL7	16846093				-0.2	0.614146423348586	-0.683855802502351						
ENSG00000006042	TMEM98	16833171				-0.5	0.047036159769483	-2.9214626030935	-1.0	0.00373087724394481	-5.8541325397173	-0.1	0.80434212012507	-0.377097897221611
ENSG00000006047	YBX2	16840611				-0.7	0.210218031124454	-1.67294302075856				-0.1	0.836479507440119	-0.318016546318593
ENSG00000006059	KRT33A	16844644	-0.2	0.67349955751407	-0.685514300673017	-0.6	0.0578989594244317	-2.74018035653797	-0.5	0.11262229136155	-2.27765901885846			
ENSG00000006116	CACNG3	16817083				-0.5	0.074116500372489	-2.52440921104397						
ENSG00000006118	TMEM132A	16725405				0.5	0.0415078718992095	3.03578715083923	0.4	0.212104894176721	1.73935608008207			
ENSG00000006128	TAC1	17048694				0.4	0.253232808952427	1.51963417945461	0.8	0.0238428862398829	3.66260102754986	0.7	0.0173162267444225	4.62390004777952
ENSG00000006210	CX3CL1	16819484				0.3	0.257650085634797	1.50433891901568						
ENSG00000006327	TNFRSF12A	16815310				1.5	0.0069372530882518	4.98745575338753	0.9	0.0159309524631328	4.08817139947185	1.0	0.0290333225528195	3.86393399051753
ENSG00000006459	KDM7A	17063507				-0.6	0.0330426699898978	-3.24886821982122						
ENSG00000006468	ETV1	17055354							-0.5	0.0956598738573309	-2.41247628415078			
ENSG00000006555	TTC22	16687602				-0.7	0.0148655862643797	-4.06558623671418				-0.5	0.0877249943022831	-2.64223427191929
ENSG00000006606	CCL26	17058863				0.5	0.042353807015602	3.01762094782908				0.5	0.181324823255525	1.9558250633367
ENSG00000006607	FARP2	16893482				-0.6	0.0119011199807707	-4.32329167957971						
ENSG00000006625	GGCT	17056358				0.3	0.309319225010066	1.34476589856374						
ENSG00000006659	LGALS14	16862132				0.1	0.832758235882624	0.29805559224327						
ENSG00000006704	GTF2IRD1	17047138				0.6	0.0328818252174725	3.25320671808933				0.4	0.265216094069064	1.59709271168527
ENSG00000006712	PAF1	16872203				0.5	0.0391872588959831	3.08851355845614				0.5	0.0588796695206361	3.06920881444094
ENSG00000006740	ARHGAP44	16831247	-0.4	0.381950309339736	-1.38261167577371	-1.3	0.00895828202561156	-4.6734886272909	-1.2	0.0010348713267843	-7.74142523562402	-0.5	0.18938990871364	-1.91018567371799
ENSG00000006747	SCIN	17043727	-0.5	0.299304290271976	-1.65840370869457	-1.7	7.19567254246134E-4	-10.4481370421412	-1.1	0.0466901761300792	-3.03500102519875	-1.2	0.0327480526303877	-3.73013395283535
ENSG00000006756	ARSD	17108779				-1.2	0.00501036471918307	-5.45510698676258	-1.2	0.00246715746673849	-6.40392370298359	-0.8	0.0736662622525341	-2.81832276641519
ENSG00000006757	PNPLA4	17108943				-0.9	0.00847658016985312	-4.74056704221822	-0.6	0.0536298574156935	-2.90385480823264	-0.6	0.0708307097096439	-2.86183475643057
ENSG00000007038	PRSS21	16815237				0.1	0.686855971343131	0.552377230978399	0.4	0.249137623514158	1.60169705180546	0.5	0.14844005449901	2.14848624930954
ENSG00000007047	MARK4	16863243				0.5	0.0391914047612569	3.08828134504331				0.4	0.213455224626012	1.80045913963198
ENSG00000007062	PROM1	16974534				-1.1	0.00407548643376853	-5.77735727495987				-1.0	0.0413935913173613	-3.44200317064553
ENSG00000007080	CCDC124	16859675				0.6	0.0543956983227358	2.79404956543873	0.3	0.353503672220978	1.28938317105663	0.6	0.0408003442217845	3.45772034778527
ENSG00000007129	CEACAM21	16862529				1.0	0.0199279690106772	3.76547284693464						
ENSG00000007171	NOS2	16842517	0.6	0.345324245475941	1.49387661579733	2.6	0.0113403900050591	4.37543165221952	2.0	0.0269881511485355	3.54284904427362	1.4	0.109811396106045	2.43312381507381
ENSG00000007216	SLC13A2	16832479	-0.5	0.303889595753932	-1.64048901126574	-1.0	0.112384299666065	-2.18304454587629	-2.7	2.65772918408467E-4	-10.4615014935041	-0.2	0.662889236009749	-0.634495341050979
ENSG00000007237	GAS7	16841137				0.8	0.0211724362664103	3.70453519852641	0.6	0.0860438571307365	2.50037804881369	0.4	0.329119998474835	1.385025777123
ENSG00000007255	TRAPPC6A	16873239				-0.3	0.3398935321974	-1.26170420039096	-0.6	0.053237697061637	-2.91142720148962			
ENSG00000007306	CEACAM7	16872611				-1.1	0.0280469063950351	-3.4110849150342	-0.8	0.0455474803844985	-3.0621258062147	-0.6	0.0285410424027633	-3.88404965070164
ENSG00000007312	CD79B	16847719				0.8	0.00710506146388632	4.96433355725518	0.6	0.0737705537811612	2.63128934122486			
ENSG00000007372	PAX6	16737056										0.3	0.487095467506207	0.98442333466858
ENSG00000007376	RPUSD1	16822581				0.5	0.144350014972024	1.97725292046559	0.2	0.557190570185556	0.834146317170375			
ENSG00000007392	LUC7L	16822356	-0.6	0.162143660782961	-2.27619424259334	-0.8	0.0135629705680457	-4.17351372277144	-0.5	0.10291617771544	-2.35054086083868	-0.8	0.0244133249852762	-4.12655580115
ENSG00000007402	CACNA2D2	16954507				-0.4	0.264854235437179	-1.48051072136413	-0.9	0.0059968326401085	-5.17802307578322			
ENSG00000007908	SELE	16696251				1.9	0.102333741311422	2.25985323262802	1.1	0.244286765525637	1.61760122955786	0.8	0.388766234275646	1.2208038620769
ENSG00000007933	FMO3	16673682	0.7	0.0662850101056245	3.21379311082303	1.1	0.00209921778868574	6.91849897789345	1.1	0.00413848932846083	5.71202440440461	1.1	0.0117234841916317	5.34480415084997
ENSG00000007944	MYLIP	17005077				-0.7	0.0263943474580913	-3.46749238806308	-0.7	0.014506711013198	-4.1999493856447	-0.4	0.203933712281774	-1.84399782980961
ENSG00000007952	NOX1	17112656	-0.2	0.810775460146486	-0.408603712526982	-0.5	0.192931776748961	-1.74499207860863				0.4	0.283838509922354	1.53510047968981
ENSG00000007968	E2F2	16683358				0.2	0.450649208265753	1.00110543874043						
ENSG00000008118	CAMK1G	16676965				0.1	0.875603483590358	0.217906517548102						
ENSG00000008277	ADAM22	17047985							-0.4	0.200141890567065	-1.78783550816227			
ENSG00000008311	AASS	17062280				0.4	0.12649985106698	2.08422346031979	0.5	0.116576926164794	2.24681924391547	0.3	0.367624135459669	1.27789208740907
ENSG00000008323	PLEKHG6	16747211				-0.7	0.108343270502009	-2.21293541971305	-0.5	0.222704414368263	-1.69784519236357	-0.3	0.468845618743956	-1.02530835681311
ENSG00000008324	SS18L2	16939660				0.4	0.172578527905827	1.83572734186439						
ENSG00000008382	MPND	16857177				-0.4	0.17135648915044	-1.84152006337368						
ENSG00000008441	NFIX	16858805										0.4	0.194283541731674	1.88841219638566
ENSG00000008513	ST3GAL1	17081447				1.2	0.00424249062650052	5.71031315626347	0.9	0.0273848203418059	3.52619623653691	0.6	0.152456886552467	2.11961138532065
ENSG00000008516	MMP25	16815342				0.5	0.130633291846849	2.057510194175	0.5	0.125123628280691	2.1864589715726			
ENSG00000008517	IL32	16815355				0.1	0.728100851655814	0.482539916785986	0.2	0.527024755595747	0.895401600209105	0.4	0.253508582078583	1.64100111894283
ENSG00000008838	MED24	16844248				0.3	0.217054101621328	1.64697155223551						
ENSG00000008853	RHOBTB2	17066791				0.7	0.0217485108939909	3.67307778751735	0.3	0.446282643812968	1.06849550580724			
ENSG00000008952	SEC62	16947829				0.2	0.589277474461751	0.729233258187674						
ENSG00000009765	IYD	17013677				-0.8	0.0323522396545629	-3.27183782430566	-0.7	0.0751080404306394	-2.61727783829058	-0.3	0.462537513840605	-1.0399876176599
ENSG00000009790	TRAF3IP3	16676999				0.7	0.0585656130805352	2.73092054716989	0.3	0.48847984357481	0.976458616585255	0.1	0.763458757813804	0.45200698936354
ENSG00000010030	ETV7	17018615				0.9	0.0248520422475682	3.52725277667855	0.4	0.250981056616608	1.59592324944703	0.6	0.0477801484666711	3.28568697843051
ENSG00000010256	UQCRC1	16953568				-0.1	0.752550517425109	-0.438779261000709						
ENSG00000010292	NCAPD2	16747287				0.3	0.199269005739249	1.71732155847428						
ENSG00000010295	IFFO1	16760419				0.6	0.0579891624139732	2.73845134493897						
ENSG00000010327	STAB1	16941560				0.4	0.201962135577327	1.70521713933651				0.2	0.717716673422767	0.53219677174854
ENSG00000010438	PRSS3	17084389				-0.5	0.0937588573241784	-2.33232859731757	-0.6	0.0541033056858298	-2.89700867265038	-0.6	0.0141598038175622	-4.97923215004039
ENSG00000010610	CD4	16747417				0.7	0.0264781076422171	3.46261412562559	0.2	0.462745473710929	1.03310738971941	0.1	0.770256163579857	0.437852619685944
ENSG00000010671	BTK	17112735				1.1	0.00715018425258639	4.95416875163182	1.1	0.00726298703078805	4.9702451019951	0.4	0.294549909556133	1.49926598206906
ENSG00000010704	HFE	17005542				0.4	0.13352282490041	2.03981714361446						
ENSG00000010818	HIVEP2	17024335				1.1	0.00492120692801613	5.48552367622757	0.7	0.0322883806636334	3.36510554742576			
ENSG00000010932	FMO1	16673731				1.2	0.0270022941088812	3.44545627081836	1.0	0.0132344888639223	4.30068629683272	0.2	0.556622316912052	0.840291464397151
ENSG00000011028	MRC2	16836824	0.5	0.297922596892795	1.66218076333017	0.8	0.0064008499674826	5.10803060232119	1.0	0.0137049180600439	4.25411851170171	0.6	0.108361427354756	2.44417053396297
ENSG00000011083	SLC6A7	16991057				-0.5	0.0274280740760382	-3.42877352917						
ENSG00000011201	ANOS1	17108959				0.8	0.0371683772577911	3.13448680216829						
ENSG00000011258	MBTD1	16846800				-0.6	0.0154387700892512	-4.02800262625207	-0.6	0.0462620455601211	-3.04512654371351			
ENSG00000011260	UTP18	16836156				0.8	0.00820814054021114	4.79296542572848				0.6	0.0298235056458561	3.83331757364774
ENSG00000011347	SYT7	16739089				0.1	0.875878309532087	0.217073284897682				0.5	0.18375491315372	1.94341027124774
ENSG00000011376	LARS2	16940065				0.3	0.376465479060389	1.16965913044506						
ENSG00000011422	PLAUR	16873060	0.7	0.176430991214901	2.17978616702691	1.6	0.0066573863333978	5.04880730495261	1.2	0.0718921702872673	2.65112010133149	1.1	0.0260959939757448	4.00479167749488
ENSG00000011426	ANLN	17045198	0.9	0.0287567693224721	4.11457112436532	0.9	0.0194165765387585	3.79249684270442	1.2	0.0414693238760941	3.14378137365869	0.9	0.0225382452777666	4.23317215354028
ENSG00000011478	QPCTL	16863344				0.4	0.120167848499396	2.12723797519113						
ENSG00000011485	PPP5C	16863460				0.5	0.0326936917263111	3.2594866161729				0.6	0.03671576192349	3.5839200486444
ENSG00000011600	TYROBP	16871546				1.3	0.00732188213570949	4.92834063047668	0.9	0.0233856364923732	3.68213631716982	0.7	0.209399533300155	1.81866782524302
ENSG00000012048	BRCA1	16845349				0.3	0.253495699939108	1.51862236867474	0.6	0.0802997834213614	2.55631572563683			
ENSG00000012124	CD22	16860992	-0.8	0.403844951557274	-1.32445123192859	1.3	0.00751222696041381	4.89233349191044	0.6	0.437098495476974	1.08846878431145	0.9	0.134878850283257	2.24011189625242
ENSG00000012223	LTF	16952883	-0.2	0.791480254893588	-0.450566466722842	1.1	0.00671389818104239	5.03376702121709	0.5	0.45667265941601	1.04691648726545	0.7	0.0677558119247076	2.91053933076905
ENSG00000012504	NR1H4	16755671	0.8	0.067786377031589	3.17183433957167	-0.4	0.423430229732781	-1.05908864596764	1.0	0.226570073856194	1.68252864818285	-0.8	0.14844005449901	-2.14933863455119
ENSG00000012660	ELOVL5	17020152				1.5	8.51036860325137E-4	9.32356875231057	1.1	0.00184684091457775	6.8384304400818	1.1	0.03671576192349	3.58315682508876
ENSG00000012779	ALOX5	16704375				0.8	0.029657886121896	3.35466811382817	0.6	0.0774976978849596	2.58606124520893	0.2	0.754837897900676	0.468041300883418
ENSG00000012817	KDM5D	17117126	2.2	0.0966742193096774	2.81002986052788	2.7	0.0152749412415001	4.03699651663523	2.6	0.0185884224014295	3.90787300155026	2.3	0.043876583506411	3.37875186426195
ENSG00000012822	CALCOCO1	16765404										-0.5	0.120708517577167	-2.34201784269252
ENSG00000012963	UBR7	16787679							0.2	0.478685887954718	0.998941568077177	0.3	0.376116979202723	1.25409028474066
ENSG00000013016	EHD3	16878731				1.9	0.00249633598642619	6.60470879310331	1.2	0.0132124489578435	4.30272330413791	0.9	0.039823855081541	3.48934510437046
ENSG00000013275	PSMC4	16862145				0.6	0.0440901922157346	2.97851589834087	0.5	0.0844595157310742	2.51601151882766	0.7	0.0556232908351849	3.13160086569088
ENSG00000013288	MAN2B2	16964695				0.1	0.624665938880104	0.663385988212937						
ENSG00000013375	PGM3	17021188				0.5	0.0561382915054093	2.76755478471685						
ENSG00000013392	RWDD2A	17010692				0.4	0.235863090085657	1.57854442491049	0.4	0.294050230663228	1.45709548806939			
ENSG00000013441	CLK1	16907130				-0.3	0.222841029904909	-1.6249662313428						
ENSG00000013523	ANGEL1	16795021				0.3	0.281243687012328	1.4274019841044						
ENSG00000013583	HEBP1	16761663	0.3	0.594640935082007	0.853260306128159	-0.1	0.698745909093895	-0.532102839980947	0.4	0.189217056389714	1.83304706480154			
ENSG00000013588	GPRC5A	16748529				0.4	0.150130514596988	1.94586613092922	0.4	0.275517749962848	1.51537297280364			
ENSG00000013810	TACC3	16964000				0.8	0.0184995632844745	3.84457844400199	0.7	0.0301984870098225	3.42482378320279	0.5	0.0911633826293436	2.61013414150692
ENSG00000014257	ACP3	16945682	0.2	0.744241200952717	0.552732817081771	0.8	0.0869377869291122	2.39663853875889	1.1	0.00625896100636091	5.13423687991784	0.9	0.0481715709716172	3.27787635627458
ENSG00000014824	SLC30A9	16966393				-0.2	0.522899640685573	-0.854427754300795						
ENSG00000015285	WAS	17103396				1.1	0.00847658016985312	4.74055983254697	1.0	0.031438518372688	3.38911433976491	0.3	0.532204484964896	0.890852241700978
ENSG00000015413	DPEP1	16822035	1.5	0.067786377031589	3.17374391524428	1.8	0.00162506680339244	7.50454170444401	1.9	0.00333194535987117	6.0136991624266	1.0	0.0841874023466924	2.68090194877325
ENSG00000015475	BID	16932008				0.4	0.106004170953527	2.23130603114461						
ENSG00000015532	XYLT2	16835781							-0.6	0.0494484894483648	-2.98281263065635			
ENSG00000016082	ISL1	16984612							-0.9	0.0151187742123982	-4.14192157345323			
ENSG00000016391	CHDH	16955119				-0.4	0.194826860129293	-1.73718870549785	-0.7	0.0159570765267531	-4.08521709315457			
ENSG00000016402	IL20RA	17024118							-0.7	0.0892149625381494	-2.47043897037555	-0.2	0.657370445869445	-0.645507029083895
ENSG00000016490	CLCA1	16666775	-0.5	0.317466097744262	-1.58608886635275	-0.8	0.04125069805695	-3.04139710281953	-0.7	0.0340108120497482	-3.31900614197863			
ENSG00000016602	CLCA4	16666799				-0.8	0.146118373438742	-1.96724118374123	1.1	0.0788683706857322	2.572577359481			
ENSG00000016864	GLT8D1	16954900				0.5	0.113514371112191	2.17437874731857						
ENSG00000017427	IGF1	16769250				0.9	0.0531375400090491	2.81407156306947	0.7	0.0377916381073428	3.22609437079761	0.5	0.218385010134277	1.77863487815255
ENSG00000017483	SLC38A5	17110586				1.1	0.00506669317259361	5.43700657282193	1.1	0.00462029470352439	5.56715341199272	1.0	0.0122082199828055	5.28102892931551
ENSG00000018236	CNTN1	16750154	0.5	0.252246297215724	1.8276313111967	0.9	0.085820843341403	2.40707073539489	-0.3	0.526002221538657	-0.897545427404788	0.8	0.0591470209167586	3.06454885441945
ENSG00000018280	SLC11A1	16890837				0.7	0.0415400590715257	3.03418338594935	0.9	0.00466706604517531	5.55560409959532	0.3	0.324223168241833	1.39903265420281
ENSG00000018510	AGPS	16888047				-0.1	0.857838373046608	-0.250835064727775	-0.2	0.612656034560461	-0.723369529313351			
ENSG00000018610	STEEP1	17113582				-0.1	0.77700506840252	-0.395291697413796						
ENSG00000018869	ZNF582	16875873	0.6	0.22599701707922	1.93990389622401	0.2	0.684942016849144	0.55611547462242				0.5	0.174457004315266	1.99217924384549
ENSG00000019102	VSIG2	16745683				-1.1	0.0307855214315798	-3.32163993227402	-1.3	0.0116017510251792	-4.44080715441171	-0.6	0.146999421963899	-2.15812800951563
ENSG00000019169	MARCO	16884933				0.3	0.612853984469867	0.686314934513524						
ENSG00000019186	CYP24A1	16920497	-0.7	0.0597321912223742	-3.33384410484469	0.1	0.729135295952971	0.480765284398584	0.4	0.361045630726807	1.2714265175164	-0.7	0.37479293952808	-1.257545601757
ENSG00000019485	PRDM11	17117523										-0.3	0.259724930629115	-1.61692128630448
ENSG00000019549	SNAI2	17077004				1.1	0.021632212101317	3.67880550654898	0.9	0.010142301863095	4.58990996424472	0.6	0.166807532362473	2.03186636293803
ENSG00000019582	CD74	17001654				0.8	0.0127824989825021	4.24591154305672	0.4	0.281264761742439	1.49877955739178	0.3	0.469202901652316	1.02417161494302
ENSG00000019991	HGF	17059165				1.3	0.0109283611454363	4.42043011329173	1.3	0.0172611069263087	3.99325671438523	0.6	0.121430923851082	2.33567066602752
ENSG00000020181	ADGRA2	17067941				0.8	0.0431100799944014	2.99953253424111	0.4	0.261458183505622	1.55919658929124	0.7	0.12618854959315	2.29907127916126
ENSG00000020577	SAMD4A	16784333							0.5	0.150389778326522	2.02858414267141			
ENSG00000020633	RUNX3	16683624				0.7	0.0695236683612465	2.58002720109098	0.1	0.873871257018536	0.244260990488	0.3	0.397583156378124	1.19802366740062
ENSG00000021355	SERPINB1	17015084				0.5	0.0652623877252162	2.63643574091204						
ENSG00000021645	NRXN3	16787008				0.5	0.0431571447456681	2.99755233239782						
ENSG00000021826	CPS1	16890347	1.0	0.138472266148117	2.45925404841301	1.3	0.0842503412960209	2.42194265524275	1.5	0.184827898950791	1.85541001685596	0.7	0.0494808785458123	3.25727331627417
ENSG00000022556	NLRP2	16865563				-0.1	0.763593874769457	-0.419308460375154	0.5	0.233360115172917	1.65723641998995	0.4	0.407816807537419	1.17249084179986
ENSG00000022567	SLC45A4	17081829							0.4	0.158666660026097	1.98154565646049			
ENSG00000023171	GRAMD1B	16732755				0.4	0.309187471306177	1.34542238221991						
ENSG00000023228	NDUFS1	16907548							-0.4	0.187956869882219	-1.84005559469943			
ENSG00000023330	ALAS1	16941344				0.5	0.154096667609946	1.92499278399529				0.4	0.156296311144823	2.09549412279776
ENSG00000023445	BIRC3	16730522				1.2	0.0146251591928899	4.08393466604947	1.1	0.00556167626086952	5.29495069470427	0.5	0.386348422286814	1.22673733844549
ENSG00000023608	SNAPC1	16785086	0.6	0.14445193623622	2.40812973334286	0.7	0.042353807015602	3.0177880433521	0.8	0.0273216188095298	3.52855463582975			
ENSG00000023697	DERA	16748768				-0.7	0.00743155394313733	-4.90437028214076						
ENSG00000023734	STRAP	16748751							0.4	0.226892011406548	1.68070534416979			
ENSG00000023892	DEF6	17007795										0.2	0.603420345658619	0.749906682638612
ENSG00000023909	GCLM	16689752							0.5	0.0995527256888357	2.37957020450281			
ENSG00000024422	EHD2	16863652				1.1	0.00495635833271672	5.47298836206044	0.8	0.026991370133566	3.54163243118585	1.2	0.0168565647093039	4.66477980348953
ENSG00000024526	DEPDC1	16688386				0.2	0.566082337302921	0.772124488145815	0.5	0.338680298735922	1.32980100321544			
ENSG00000025039	RRAGD	17021596				0.8	0.0105491234861601	4.47369904414439						
ENSG00000025156	HSF2	17012165				0.8	0.0107269276792303	4.44699435441115						
ENSG00000025423	HSD17B6	16752682				0.6	0.0549375049250001	2.78616491713384						
ENSG00000025772	TOMM34	16919508				0.8	0.00857736618705261	4.72914255639621				0.9	0.0215689681318825	4.30157020144735
ENSG00000026025	VIM	16702767				0.7	0.0129325911150817	4.22838856785514	0.7	0.0147777623633424	4.17921355169666	0.6	0.0608575435441233	3.03302453812247
ENSG00000026297	RNASET2	17025666										0.2	0.62277558865389	0.710825947363119
ENSG00000026508	CD44	16723614				0.8	0.0135894260623947	4.17114845021989	0.8	0.00556167626086952	5.29809022641118	0.6	0.0645296971585161	2.96835069401475
ENSG00000026652	AGPAT4	17025417				0.8	0.0212993453839252	3.69648386527261	0.9	0.0689484369564434	2.68796457883048	0.6	0.0787734075383085	2.74563990287445
ENSG00000026652	AGPAT4	17025438							0.4	0.275517749962848	1.51534597678164	0.2	0.633427530026098	0.691670316076983
ENSG00000026751	SLAMF7	16672654	0.1	0.834283084798171	0.363088183313974	1.3	0.00690617689778041	4.99652538041181	1.0	0.0170883133926545	4.00839704411472	0.2	0.672007830116501	0.617845288922486
ENSG00000026950	BTN3A1	17005655				0.4	0.179637867694047	1.80288764798345	0.5	0.172148539267688	1.91524013210686	0.3	0.369580266515311	1.27338464797993
ENSG00000027001	MIPEP	16777401										0.4	0.275947640466521	1.55946470123302
ENSG00000027869	SH2D2A	16694764				0.6	0.0662681635798918	2.62225431733543	0.4	0.503600414547986	0.943293088504289	0.5	0.187932590157558	1.91925006127171
ENSG00000028137	TNFRSF1B	16659238				1.3	0.0117046871425557	4.34505773130293	0.8	0.0610175674096254	2.79264081238785	1.0	0.0463537075327881	3.31540761236231
ENSG00000028277	POU2F2	16872705				0.6	0.025131498941995	3.51397754448263	0.2	0.544237758513878	0.861017918973892			
ENSG00000029153	ARNTL2	16749423	0.7	0.201552053013593	2.05095863354479	2.2	7.93545260538704E-4	9.79433007326604	1.6	0.00125294242109946	7.41433526816731	1.3	0.0714455294815553	2.85409503231811
ENSG00000029993	HMGB3	17107753							0.7	0.0219939395047023	3.74625860652667			
ENSG00000030110	BAK1	17018274				0.7	0.0232546705192901	3.59227132418783	0.9	0.0116392544750547	4.43588845235332			
