Gene ID	Gene Name	condition1.foldChange	condition1.pValue	condition2.foldChange	condition2.pValue	condition3.foldChange	condition3.pValue	condition4.foldChange	condition4.pValue	condition5.foldChange	condition5.pValue	condition6.foldChange	condition6.pValue
ENSG00000005421	PON1	-0.9	0.0161848571341974	-0.6	0.0841675536751877	-0.7	0.145885911950771	-0.1	0.904513735068481	-0.9	0.531702565566816	-0.2	0.625256350770828
ENSG00000005436	GCFC2	-0.2	0.00146840150385285	-0.1	0.097261551161679			-0.1	0.86021295345608	-0.3	0.350730239671034		
ENSG00000005448	WDR54	-0.1	0.374831195374362			-0.4	0.0434719712784321	-0.1	0.820374735455073			-0.1	0.719804361417827
ENSG00000005469	CROT	-0.5	2,38E+09	-0.3	0.032691050769715	-0.4	0.0198495597872762	-0.1	0.907013964380189	-1.1	0.0070388147399369	-0.1	0.884855755100099
ENSG00000005471	ABCB4	-0.5	0.00279102913488436	-0.5	0.0231928845379185	-0.2	0.447869567363476	-0.4	0.361440673660835	-0.8	0.228035108155961	-0.2	0.430301683060645
ENSG00000005483	KMT2E	-0.2	0.113726474848572	-0.2	0.168782477857697					-0.3	0.517189452354202	-0.1	0.537803563957008
ENSG00000005486	RHBDD2	-0.1	0.351857032342538			-0.3	0.111731614407029	-0.1	0.860674951680109	0.3	0.736870462756856		
ENSG00000005513	SOX8	-1.2	2,34E+06	-0.8	5,08E+10	-0.5	0.109919520688502	-0.6	0.210696527254078	-2.0	0.00484082018208517	-0.1	0.903995175625041
ENSG00000005700	IBTK	0.1	0.082707659946475	0.2	0.0813864947922898	0.3	0.0256367302501963			-0.1	0.912103586626959		
ENSG00000005801	ZNF195	-0.3	3,11E+10	-0.2	0.0250980240508617	-0.1	0.285029612143045			-0.4	0.158001968932175	-0.1	0.705675411505621
ENSG00000005810	MYCBP2			-0.1	0.597488994432117	0.1	0.56331648634815	-0.1	0.789657727047121	-0.1	0.89814496574325	-0.2	0.547056584799484
ENSG00000005812	FBXL3	-0.4	1,07E+07	-0.2	0.112089664851884	-0.1	0.758921903442875			-0.6	0.122900536092181		
ENSG00000005844	ITGAL	-0.1	0.778942822516369	-0.2	0.373234539947036			-0.2	0.764312540038926	-0.2	0.865199581861433	-0.2	0.60308146586301
ENSG00000005882	PDK2	-1.0	4,51E+01	-0.6	1,54E+10	-0.6	0.0104000491294888	-0.2	0.613135452721104	-1.7	5,90E+10	-0.1	0.744725091133191
ENSG00000005884	ITGA3	-0.4	2,91E+09	-0.3	0.00379529393483061	-0.3	0.0416554321277444	-0.2	0.566743748165252	-0.4	0.25985125888128		
ENSG00000005889	ZFX	-0.1	0.498582722854883					0.1	0.796259657831906	-0.3	0.573759643889517		
ENSG00000005893	LAMP2									0.2	0.574524098885244	-0.1	0.676832458994938
ENSG00000005961	ITGA2B	0.2	0.42550095640183	0.3	0.362593367208053	-0.2	0.638731834238553			0.5	0.660568051004155	-0.4	0.306300992297721
ENSG00000005981	ASB4	-0.6	0.00209364552472378	-0.2	0.454945863399451	-0.3	0.445284780528837	-0.3	0.618442795238075	-1.1	0.266713028671486	-0.1	0.842555976997244
ENSG00000006007	GDE1	-0.1	0.439046988128979			0.1	0.699257660498455			0.1	0.866930101243177	0.1	0.646396627015898
ENSG00000006015	REX1BD	-0.2	0.288635147423767	-0.1	0.546720765948638	-0.4	0.0315192880022244	-0.1	0.878333445395366	0.2	0.851232799248724		
ENSG00000006016	CRLF1	0.1	0.614986147399649	0.1	0.686577833403					0.8	0.151477156655391		
ENSG00000006025	OSBPL7	-0.3	0.00844350041180298	-0.4	0.016039704238324	-0.4	0.0445267784104322			-0.2	0.803245874869924	-0.1	0.822853622813777
ENSG00000006042	TMEM98	-0.7	5,50E+07	-0.4	0.00742314446206592	-0.4	0.0300240684351451	-0.1	0.842027280562297	-1.3	0.00150985734334657		
ENSG00000006047	YBX2	-0.3	0.179191719780666	-0.2	0.494236328745802	-0.3	0.344259431975495	0.1	0.941428913132978	-0.3	0.775124948409901		
ENSG00000006062	MAP3K14	-0.1	0.398080522761025	-0.1	0.547766578535479					-0.1	0.778280825235198		
ENSG00000006071	ABCC8	-0.3	0.121024013387774	-0.3	0.13100895340763	-0.2	0.455684487666398	-0.2	0.746942425962302	-1.4	0.0469664563196295	-0.1	0.695922863826464
ENSG00000006116	CACNG3	-0.8	0.153219058056885	-0.1	0.807073750514348	-0.4	0.512516694538349			-0.9	0.573895221048386	-0.6	0.0688321911024725
ENSG00000006118	TMEM132A	02.Mar	2,62E-13	01.Mar	3,64E+04	01.Apr	1,06E+07	0.6	0.0728600795954935	03.Jan	5,20E-05	0.2	0.417014893160569
ENSG00000006125	AP2B1	0.1	0.0358541571597972	0.1	0.170668226233696	0.2	0.0396209458611817			0.4	0.0448884939268415		
ENSG00000006128	TAC1	0.5	0.165346694803546	0.7	0.0192447624425299	0.7	0.0701830183511757	0.5	0.355176356982773	-1.9	0.0379626152546203	0.7	0.0201588403256055
ENSG00000006194	ZNF263	-0.2	3,74E+10	-0.1	0.00176385880106326	-0.1	0.04820927589011	-0.1	0.236632425722234	-0.1	0.807291320814656		
ENSG00000006210	CX3CL1	0.6	1,27E+08	0.5	0.00241156005815634	0.4	0.0279581045391149	0.2	0.716472012383292	0.5	0.344492929629437		
ENSG00000006282	SPATA20	0.4	2,14E+09	0.3	0.00919583235971406	0.2	0.225513418475426	0.2	0.664758256652922	0.9	0.0263996754741626	0.2	0.36643026783966
ENSG00000006283	CACNA1G	-0.5	0.0216125226616323	-0.4	0.117457188278888	-0.6	0.0569429783507344	-0.6	0.0968486288707315	-0.3	0.734199831716447	-0.4	0.202546484270264
ENSG00000006327	TNFRSF12A	0.6	4,17E+09	0.3	0.121825791712992	0.3	0.174584733914798	0.2	0.629253488390092	0.8	0.23244073769671	0.4	0.158809564580525
ENSG00000006432	MAP3K9	-0.2	0.0310028740298028	-0.2	0.0785220428125415			-0.2	0.559753518479339	-0.3	0.455444085334753	-0.1	0.353336665459808
ENSG00000006451	RALA			0.1	0.288389144572232					0.3	0.402841749217421	0.1	0.767622000678923
ENSG00000006453	BAIAP2L1	0.6	3,27E+09	0.4	2,75E+10	0.4	0.00715751481563876	0.4	0.0766652584928726	0.8	0.0225982041010503	0.4	0.0405123908503682
ENSG00000006459	KDM7A					0.1	0.320987007998533	0.1	0.91462530403586				
ENSG00000006468	ETV1	0.4	3,39E+10	0.4	0.0106369815248043	0.4	0.0150470226596619	0.2	0.431787143078281	0.4	0.402503970808326	0.1	0.832955587449733
ENSG00000006530	AGK	0.1	0.373756490114313			0.1	0.521978979816312	0.1	0.777115321495029	-0.1	0.861638983517349	0.1	0.822853622813777
ENSG00000006534	ALDH3B1	-0.3	0.00641058077155883	-0.3	0.00909628687316524	-0.4	0.0462400762758505	-0.2	0.602932945337322	-0.9	0.040031530388882	-0.1	0.724679312728747
ENSG00000006555	TTC22	-0.4	0.0275757065511931	-0.2	0.355089416833754	-0.2	0.238489121986274			-1.1	0.006193790119625	0.2	0.439836021178652
ENSG00000006576	PHTF2					0.2	0.425587588280917			0.3	0.674259647023713	-0.1	0.744202448179808
ENSG00000006606	CCL26	0.7	0.0167444741579421	0.7	0.019211473361267	0.1	0.845946369920945			0.6	0.602322686636436	0.3	0.470515012696621
ENSG00000006607	FARP2	0.1	0.148083413042841	0.2	0.116955353965555	0.3	0.0455414570034054	0.2	0.54860621339432			0.1	0.687167495096058
ENSG00000006611	USH1C	-0.7	2,19E+10	-0.4	0.0330108619825534	-0.5	0.0304665434688123	-0.1	0.814311930369706	-1.3	0.00189208969246073		
ENSG00000006625	GGCT	0.1	0.688008071437436	0.2	0.208212969202871					0.6	0.268558179900736	0.1	0.851523827215137
ENSG00000006634	DBF4	0.1	0.0969356336447879	0.1	0.0999836258785999	0.3	0.0156626205309522	0.1	0.833761842624692	0.4	0.112821372371373		
ENSG00000006638	TBXA2R	-0.2	0.147170766198708	-0.2	0.204538568504648	-0.4	0.041339544711308	-0.2	0.672084640110848			-0.2	0.424114688041746
ENSG00000006652	IFRD1			-0.1	0.143092767021318	-0.1	0.457650896966599	0.1	0.611858449653837	-0.1	0.876815974964468	0.1	0.429926966452941
ENSG00000006695	COX10	-0.3	1,80E+07	-0.2	0.0309178145436937	-0.2	0.125969671409555	-0.1	0.668246611225775	-0.4	0.167862231688931		
ENSG00000006704	GTF2IRD1	0.3	0.00152662457681631	0.2	0.0219071260479364	0.2	0.162603855617039	0.2	0.585930308619582	0.5	0.144333685138055	-0.1	0.722884278653239
ENSG00000006712	PAF1					-0.1	0.231847675743886	-0.1	0.895160320237518	0.4	0.322261978327406		
ENSG00000006715	VPS41					0.1	0.127016745903241			-0.1	0.843263472675211		
ENSG00000006740	ARHGAP44	0.4	0.010488950834188	0.4	0.0163745004690913	0.6	0.00260764926593057	0.2	0.747206028268594	0.3	0.656853419301099		
ENSG00000006744	ELAC2							-0.1	0.630024298175104	0.3	0.310858220927246		
ENSG00000006747	SCIN	-1.3	9,05E+03	-0.6	0.00296998829465293	-0.6	0.0148081409956216	-0.1	0.886236182021131	-3.1	3,36E-01		
ENSG00000006756	ARSD	-0.2	0.0461717511955837	-0.1	0.458996785777536	-0.2	0.239865176552001			-0.6	0.121452261302719		
ENSG00000006757	PNPLA4	-0.1	0.299130501419359	-0.1	0.734548642783283	-0.2	0.357976370418013	0.1	0.928811142466267	-0.2	0.749097897521176	0.2	0.402507267522851
ENSG00000006788	MYH13	0.9	0.00187612260013623	0.5	0.0717865105241755	0.2	0.679169915243233	-0.2	0.834782258531909	01.Feb	0.152180964017572		
ENSG00000006831	ADIPOR2	-0.3	3,69E+09	-0.2	0.0671372836240344	-0.1	0.669689765637149	-0.1	0.840222064713604	-0.4	0.342222678725439		
ENSG00000006837	CDKL3	-0.2	0.208795975173242	-0.2	0.441084659149772	-0.2	0.480020540072777			0.4	0.509135737297194		
ENSG00000007001	UPP2	-0.4	0.252904142583949	-0.1	0.892169170030626	-0.6	0.213877875266451					-0.1	0.913962384290173
ENSG00000007038	PRSS21	01.Jan	1,02E+06	0.6	0.00817833546411256	0.6	0.0470405842925456	0.6	0.137828406701578	01.Jan	0.123781992759324	0.2	0.554408058766738
ENSG00000007047	MARK4	0.3	6,24E+08	0.1	0.0702073318943623	0.1	0.321279361159367			0.5	0.04086271591828		
ENSG00000007062	PROM1	-0.5	0.00881623805423004	-0.3	0.202082219596755	-0.4	0.0676093373175675	-0.2	0.689739835382964	-0.7	0.130707880111347	-0.1	0.697266988341364
ENSG00000007080	CCDC124					-0.3	0.130567031622686	-0.1	0.882654923027671	0.7	0.233081785454677	0.1	0.644976591385232
ENSG00000007129	CEACAM21	0.1	0.587748288229021	0.1	0.798604597757626					-0.8	0.220104038546324		
ENSG00000007168	PAFAH1B1	-0.2	1,85E+07	-0.1	0.0148353851400418	-0.1	0.388891853368362	-0.1	0.613843096037975	-0.4	0.129460774283512	-0.1	0.539403471415291
ENSG00000007171	NOS2	02.Jan	1,87E-05	01.Jul	1,61E+01	01.Jul	1,23E+06	0.9	0.0118432868539479	2.0	0.020683503653249	0.9	0.00132470163544642
ENSG00000007174	DNAH9	-0.3	0.205433852772524			-0.3	0.34081702923537	-0.2	0.815082778840425	-0.2	0.908796260689317	-0.2	0.399595844502548
ENSG00000007202	KIAA0100	-0.1	0.163985409105043	-0.1	0.523455027407815			-0.1	0.638012788582783	-0.1	0.817116577990658		
ENSG00000007216	SLC13A2	-1.8	7,25E+02	-1.0	4,93E+09	-0.9	0.00524619177854357	-0.4	0.503951553278378	-4.7	1,88E-04	-0.1	0.925750725266911
ENSG00000007237	GAS7	0.5	3,50E+07	0.3	0.0134883193541954	0.3	0.0203094833427141			0.6	0.0907018551196976	-0.1	0.523599011003091
ENSG00000007255	TRAPPC6A	-0.5	0.0039247845625303	-0.2	0.460634037418111	-0.6	0.00336497183174104	-0.1	0.928082497481888			0.1	0.868797489527113
ENSG00000007264	MATK	-1.0	1,44E+02	-0.7	3,49E+08	-0.9	4,44E+07	-0.4	0.171846047824152	-0.8	0.165294903103749	-0.1	0.656439951264103
ENSG00000007306	CEACAM7	03.Feb	1,20E-02	0.8	0.0240507546536351	01.Aug	1,17E+10	0.2	0.835014689517662	05.Aug	1,79E+05	0.4	0.275831522165193
ENSG00000007312	CD79B	-0.8	0.00192805044075747	-0.6	0.0459499413775967	-0.5	0.171581581454838	-0.3	0.695866724135829	-0.2	0.916689057202348	-0.2	0.60770603840951
ENSG00000007314	SCN4A	-0.5	0.0153782926504952	-0.3	0.202248868089363	-0.4	0.196019225894538	0.1	0.890482567076352	-1.3	0.0881718066735345		
ENSG00000007341	ST7L									-0.1	0.72777328853106		
ENSG00000007350	TKTL1	0.3	0.19777119697089	0.4	0.0888923183331018	0.1	0.845434977225255	0.1	0.96319188245793	0.3	0.817905519422517	0.1	0.788664794691926
ENSG00000007372	PAX6	-0.4	5,20E+10					0.1	0.612465759256762	-0.6	0.0405006286461104		
ENSG00000007376	RPUSD1	0.1	0.370126854465366	0.1	0.70559333163111	-0.1	0.728554792971448			0.5	0.157682701410584	0.1	0.439836021178652
ENSG00000007384	RHBDF1	0.8	3,76E-07	0.4	1,63E+08	0.5	2,24E+10	0.4	0.0312865452344877	01.Mar	3,80E+08	0.2	0.0828653294880838
