Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'Crohn's disease' vs 'normal'.tStat	condition2.foldChange	condition2.pValue	'ulcerative colitis' vs 'normal'.tStat
ENSG00000007174	DNAH9	36443_at	-0.4	0.0644972565180212	-2.85302363901119	-0.6	0.00629792889641764	-5.40701173257476
ENSG00000007216	SLC13A2	31559_at	-0.1	0.65966240866194	-0.683848905435313	-0.3	0.150584068872045	-2.10458374865362
ENSG00000007237	GAS7	33387_at				0.3	0.284372535673034	1.50797438860456
ENSG00000007255	TRAPPC6A	36529_at	0.3	0.29286977455288	1.54801813432089	0.4	0.293161253523422	1.477964628901
ENSG00000007264	MATK	36264_at				0.2	0.280991465850895	1.5224536709574
ENSG00000007306	CEACAM7	160035_at	-0.4	0.711311997720942	-0.576011370363137	-0.8	0.513715778877324	-0.923329754868401
ENSG00000007312	CD79B	37988_at	0.3	0.287372358575816	1.56936755479618	0.8	0.132095989613173	2.22790533722544
ENSG00000007384	RHBDF1	1813_at	0.1	0.494120190708604	1.01546440986056	0.1	0.548357384315403	0.852292499969624
ENSG00000007520	TSR3	41116_at	0.2	0.492880646671436	1.0192533599004	0.2	0.287938247820453	1.49565082177066
ENSG00000007541	PIGQ	33269_at	0.2	0.304552926266681	1.50929555511239	0.3	0.12012351853914	2.31759140999628
ENSG00000007908	SELE	265_s_at	0.4	0.296914200086631	1.53140310920839	0.7	0.366644948819031	1.26123062077567
ENSG00000007923	DNAJC11	36840_at	0.2	0.345281189121183	1.38854977157163	0.1	0.584567251603043	0.779650706946511
ENSG00000007952	NOX1	32973_s_at	-0.1	0.581513837553774	-0.837129971843072	-0.2	0.239496445788374	-1.67040643662837
ENSG00000007968	E2F2	2068_s_at	0.2	0.303703069470506	1.51281728522753	0.2	0.241972106645418	1.66198900419097
ENSG00000008018	PSMB1	1447_at	0.3	0.206652403298089	1.8652091442024	0.2	0.29675762963432	1.46537430174147
ENSG00000008083	JARID2	34782_at	-0.1	0.469465973522942	-1.0725291470583	-0.1	0.438618135890297	-1.08221875419451
ENSG00000008118	CAMK1G	32863_at				0.2	0.287814609240562	1.49614223227801
ENSG00000008130	NADK	41249_at	0.2	0.206169966104613	1.86696014015113	0.2	0.35715220357204	1.28884759310321
ENSG00000008196	TFAP2B	39668_at	0.1	0.395634240310399	1.255234335287	0.3	0.0844337889240528	2.65992769438831
ENSG00000008256	CYTH3	34919_at	0.2	0.384923569878646	1.28305181092803	0.3	0.0858524940768813	2.64011450757243
ENSG00000008282	SYPL1	38075_at	-0.3	0.230822209211536	-1.7626133663235	-0.5	0.151366863013959	-2.09956854994188
ENSG00000008294	SPAG9	39419_at	-0.8	8.71276884354366E-4	-6.07718870891145	-1.0	0.00148640993639376	-7.35882010134604
ENSG00000008405	CRY1	38148_at	-0.5	0.0689382546940823	-2.80469414606008	-0.4	0.173303908014862	-1.97270004618566
ENSG00000008438	PGLYRP1	31381_at	0.4	0.110966622047291	2.41442675432379	0.4	0.132738582349539	2.2231439090684
ENSG00000008441	NFIX	41537_r_at	-0.1	0.698686263517967	-0.601911910280676	0.1	0.528721571611184	0.894433186283701
ENSG00000008513	ST3GAL1	40291_r_at	0.3	0.247785404084547	1.69988056045427	0.5	0.196076904606024	1.85950834232008
ENSG00000008517	IL32	39119_s_at				-0.1	0.790128027808909	-0.395589964267539
ENSG00000008838	MED24	34289_f_at	0.3	0.173563431374233	2.02124432159498	0.3	0.133373812420425	2.21853124671353
ENSG00000008853	RHOBTB2	36540_at	0.4	0.134481613703854	2.23349276715453	0.6	0.107379606013631	2.42594762268979
ENSG00000008952	SEC62	38100_at	-0.6	0.0794237712452677	-2.70572247130446	-0.8	0.0305487314052537	-3.64672512886864
ENSG00000008988	RPS20	326_i_at	-0.1	0.690357238163057	-0.620108220264593			
ENSG00000009335	UBE3C	32044_at	0.4	0.0250863292186325	3.64821838226676	0.3	0.102524922071296	2.46308797948371
ENSG00000009413	REV3L	38908_s_at	-0.7	0.0389442546910593	-3.3456256327433	-0.8	0.0182256692272575	-4.23865557402876
ENSG00000009694	TENM1	39273_at				-0.3	0.0669111103270899	-2.8790113065416
ENSG00000009724	MASP2	37514_s_at	0.2	0.186656881648482	1.95036877684282	0.3	0.0946216234758612	2.53169799880633
ENSG00000009790	TRAF3IP3	40720_at	0.4	0.142198172363467	2.18529917760142	0.4	0.163298917252035	2.02233028831996
ENSG00000009954	BAZ1B	32261_at	-0.1	0.397180521498298	-1.25103776186479			
ENSG00000010017	RANBP9	36437_s_at	-0.3	0.165879686343959	-2.05206057941219	-0.3	0.130488381378242	-2.24014839528055
ENSG00000010165	EEF1AKNMT	32262_at				-0.2	0.354037149799776	-1.29821336660433
ENSG00000010219	DYRK4	101_at				-0.1	0.62741686073057	-0.690554654876121
ENSG00000010244	ZNF207	35368_at	-0.3	0.212274957047374	-1.83611714281992	-0.3	0.31009023396518	-1.42648072387636
ENSG00000010256	UQCRC1	283_at	-0.3	0.27517510168013	-1.60651993870543	-0.5	0.203645853215553	-1.82325875628266
ENSG00000010278	CD9	39389_at	-0.4	0.324082728415334	-1.44487666439301	-0.4	0.349932736781051	-1.31175117042376
ENSG00000010310	GIPR	35590_s_at				0.1	0.529493805818976	0.892778292400949
ENSG00000010322	NISCH	33916_at	0.1	0.759480485088041	0.476046302206831			
ENSG00000010327	STAB1	38487_at	-0.2	0.673453271218435	-0.655184603082052	0.1	0.785865445859445	0.4036278367715
ENSG00000010379	SLC6A13	34038_at	0.2	0.40687638874211	1.22608720798082	0.2	0.185561375996466	1.90615070547052
ENSG00000010438	PRSS3	40043_at	-0.1	0.699483048203126	-0.600532462932694	-0.3	0.225072534317657	-1.72773615811615
ENSG00000010539	ZNF200	40724_at	-0.3	0.102298107583206	-2.48217428044905	-0.2	0.19851313805197	-1.85006697248256
ENSG00000010610	CD4	1146_at				0.2	0.230661651730262	1.70368700463344
ENSG00000010626	LRRC23	40280_at	-0.2	0.314519815838027	-1.47500954594983	-0.1	0.576242166918328	-0.797126066678468
ENSG00000010671	BTK	38213_at				0.3	0.216361036347758	1.76719656502091
ENSG00000010704	HFE	38913_at	0.2	0.247785404084547	1.69971672186563	0.3	0.123893952248528	2.28678001296205
ENSG00000010810	FYN	2039_s_at				0.3	0.30631335981561	1.43801098902834
ENSG00000010818	HIVEP2	36175_s_at	0.4	0.180572116230703	1.98380432482985	0.5	0.118524833450925	2.32825833792956
ENSG00000010932	FMO1	31806_at	0.2	0.533544686971301	0.932766983057398			
ENSG00000011198	ABHD5	33309_at	-0.1	0.596036243621257	-0.809337863141216	-0.2	0.563682303205974	-0.819694058096778
ENSG00000011201	ANOS1	33158_at	-0.1	0.660886270141653	-0.681729493532437	-0.2	0.354579106280586	-1.29586796447951
ENSG00000011275	RNF216	37477_at	-0.1	0.636875968414035	-0.728664551394579			
ENSG00000011304	PTBP1	40593_at	0.1	0.633878363710958	0.733824788629066	0.2	0.256426841920598	1.60647805327867
ENSG00000011332	DPF1	36393_at	0.2	0.456033483013181	1.10981074468427	0.1	0.548799304804636	0.851360397902907
ENSG00000011376	LARS2	34764_at	0.3	0.0856883912588905	2.63119025529664	0.3	0.10975237240975	2.4004040382046
ENSG00000011405	PIK3C2A	36509_at	-0.3	0.27402947227519	-1.61154201856929	-0.4	0.208039735944668	-1.80529714841446
ENSG00000011422	PLAUR	189_s_at	0.3	0.399342323451403	1.24536623461903	0.4	0.157794821095564	2.05476257188231
ENSG00000011451	WIZ	33718_at				0.3	0.115736337062052	2.35283726297716
ENSG00000011454	RABGAP1	35289_at	-0.2	0.318828113199416	-1.46180920752566	-0.4	0.203615141898664	-1.82429498809656
ENSG00000011485	PPP5C	391_at				0.1	0.515592090400859	0.918949078099002
ENSG00000011523	CEP68	40191_s_at	-0.4	0.103154519598014	-2.47403413196986	-0.4	0.126281928447137	-2.26518596619137
ENSG00000011600	TYROBP	38363_at	0.2	0.712341721237171	0.57288311132873	0.5	0.16410283300981	2.01885953600634
ENSG00000011638	TMEM159	35198_at				-0.4	0.0235482638068323	-3.93552954299383
ENSG00000012061	ERCC1	1878_g_at	0.1	0.407263833828207	1.22355641392946	0.4	0.0405435046002135	3.34728762770347
ENSG00000012124	CD22	38521_at	0.2	0.397103385709459	1.25141593195803	0.3	0.247195585940713	1.64394683145074
ENSG00000012171	SEMA3B	33118_at	0.5	0.300467823158235	1.52163180392546	0.4	0.0898498906031382	2.58488293268941
ENSG00000012211	PRICKLE3	36418_at				0.1	0.540813189254072	0.870376300049971
ENSG00000012223	LTF	37149_s_at	0.2	0.175380600043876	2.00937391798843	0.6	0.182228052268725	1.92432626155015
ENSG00000012232	EXTL3	38809_s_at	0.4	0.0078996455957223	4.52812050875897	0.4	0.0221863873885229	4.02828753178808
ENSG00000012504	NR1H4	38519_at				0.1	0.854089939174999	0.284369111822251
ENSG00000012660	ELOVL5	33821_at	0.3	0.669518977014935	0.662885099024923	0.4	0.355338465006354	1.29410011236523
ENSG00000012779	ALOX5	307_at				0.5	0.0372298060519243	3.44484571966305
ENSG00000012817	KDM5D	37583_at	0.5	0.285961859404738	1.57446718919705	0.2	0.752822059249569	0.461224791786227
ENSG00000012983	MAP4K5	34226_at	-0.3	0.0872021101105288	-2.61094803526834	-0.4	0.0334759436617707	-3.56356271695196
ENSG00000013275	PSMC4	32848_at	0.1	0.794730613782002	0.410771047110038			
ENSG00000013288	MAN2B2	39369_at	0.1	0.729160804533428	0.536167566857008	0.2	0.522625772132355	0.905147345804726
ENSG00000013364	MVP	38064_at	0.6	0.0304621412676855	3.53437456244312	0.5	0.0992743216320247	2.4880787297608
ENSG00000013375	PGM3	32739_at				-0.1	0.42604048400495	-1.11092412371455
ENSG00000013392	RWDD2A	39595_at				0.2	0.251245205348803	1.62661055531423
ENSG00000013441	CLK1	32833_at	-0.3	0.316886456136639	-1.46876690841834	-0.5	0.0719373786196496	-2.80972720796789
ENSG00000013523	ANGEL1	36865_at	0.3	0.0842541437024185	2.64613252953915	0.3	0.028057561968607	3.7405918131566
ENSG00000013561	RNF14	33343_at	-0.4	0.146863279003946	-2.15846160255362	-0.7	0.0580087868400019	-3.01055795069603
ENSG00000013588	GPRC5A	33730_at	-0.1	0.817523011673701	-0.36563331953939			
ENSG00000013619	MAMLD1	38916_at	-0.1	0.445686648486279	-1.13434481313422			
ENSG00000013725	CD6	40667_at	0.3	0.118024962190725	2.36033183229684	0.5	0.0829934520405278	2.67686098580194
ENSG00000014123	UFL1	36474_at	-0.2	0.68808944481024	-0.62368773772656	-0.4	0.243627428753859	-1.65581486644037
ENSG00000014216	CAPN1	33908_at	0.3	0.292231651241855	1.54956486718485	0.2	0.221416944230846	1.74302223311325
ENSG00000014257	ACP3	617_at				-0.1	0.594242888391359	-0.758108288412129
ENSG00000014641	MDH1	36608_at	-0.4	0.19558178089418	-1.9117603590742	-0.5	0.200295016063679	-1.84212359495271
ENSG00000014824	SLC30A9	36013_at	-0.2	0.329825407164107	-1.43144362851154	-0.1	0.859290729638134	-0.273436993700865
ENSG00000014914	MTMR11	1230_g_at	-0.2	0.540202819218444	-0.917940748062315	-0.6	0.258155644462109	-1.59905888570257
ENSG00000015153	YAF2	38573_at	-0.3	0.0304621412676855	-3.53273973454386	-0.3	0.147852545232772	-2.12511265994634
ENSG00000015171	ZMYND11	33865_at	-0.9	0.0236913715992095	-3.68151284608749	-1.1	0.0229736113500039	-3.96750870190881
ENSG00000015413	DPEP1	37413_at	0.2	0.720000976585002	0.555344037430666			
ENSG00000016082	ISL1	39990_at	-0.6	0.0776793544583646	-2.72317094233718	-0.7	0.0343536648403	-3.52543055868604
ENSG00000016490	CLCA1	38884_at	0.2	0.581542633766541	0.836887044845646	-0.6	0.525783430095383	-0.89990880950449
ENSG00000017260	ATP2C1	38684_at	-0.2	0.287372358575816	-1.56900368001331	-0.4	0.0763052387146133	-2.74760787270218
ENSG00000017797	RALBP1	36628_at	-0.1	0.745968368691291	-0.499668253355866	-0.3	0.481708068617239	-0.988356916500143
ENSG00000018189	RUFY3	38024_at				-0.4	0.0241243124218115	-3.90312851443709
ENSG00000018408	WWTR1	33876_at	-0.8	0.130331720932279	-2.26793492249458	-0.3	0.544210418932018	-0.86180301318961
ENSG00000018510	AGPS	39225_at	-0.4	0.0619610840447688	-2.88818400196257	-0.6	0.0329270102352807	-3.57402057998515
ENSG00000018625	ATP1A2	34377_at	0.1	0.557096677750112	0.883968145106092	0.4	0.183459470482463	1.91627495904208
ENSG00000019144	PHLDB1	37375_at	-0.1	0.826940162138767	-0.347043929951076	-0.1	0.797114861019312	-0.382344876255244
ENSG00000019169	MARCO	40331_at	0.4	0.084566354322376	2.6430144976125	0.4	0.112139350123919	2.37852232766332
ENSG00000019549	SNAI2	38288_at	-0.3	0.0478957713218821	-3.107115160336	-0.2	0.420006064812489	-1.12746168518522
ENSG00000019582	CD74	35016_at	0.4	0.417289022592226	1.20047659229511	0.5	0.426722686625878	1.10907436273462
ENSG00000020577	SAMD4A	40855_at	-0.1	0.720457701452526	-0.554376270898945	-0.1	0.798199556875365	-0.379857973748156
ENSG00000020633	RUNX3	106_at	0.4	0.0702341792611702	2.79306399078259	0.6	0.0277705032296975	3.75017762331831
ENSG00000021300	PLEKHB1	33105_at				0.3	0.135598778395856	2.20144630053473
ENSG00000021355	SERPINB1	33305_at	0.1	0.797094539617969	0.406110764816609	0.2	0.622403052637915	0.700796976558881
ENSG00000021574	SPAST	35171_at	-0.4	0.127802482127106	-2.28545242289407	-0.6	0.0938402076979441	-2.53973692663973
ENSG00000021645	NRXN3	35951_at	0.2	0.097577322766671	2.51630587619598	0.3	0.0842795533108669	2.66228625984852
ENSG00000021776	AQR	41712_at	-0.4	0.0306249239772028	-3.52777063172787	-0.3	0.113254925561976	-2.36950011905162
ENSG00000021826	CPS1	34884_at	0.3	0.667763008970304	0.667115976710614	0.5	0.358955423149948	1.28367996458122
ENSG00000021852	C8B	36304_at				0.2	0.350843165691436	1.30871654598322
ENSG00000022267	FHL1	32542_at	-0.8	0.123278418074575	-2.31960094122819	-0.1	0.827864632586001	-0.328535538463306
ENSG00000023171	GRAMD1B	41559_at	0.3	0.104003300350751	2.46729011061313	0.3	0.0531000309537208	3.08231613010736
ENSG00000023191	RNH1	36187_at	0.3	0.212274957047374	1.83587913948939	0.2	0.4249955663496	1.1141122555499
ENSG00000023228	NDUFS1	38395_at	-0.4	0.0823310354762245	-2.6728980256724	-0.5	0.0719373786196496	-2.81036248400785
ENSG00000023318	ERP44	40053_at				-0.5	0.0222204863230995	-4.00836749283516
ENSG00000023330	ALAS1	37674_at	0.6	0.0185727469600714	3.84348989928819	0.6	0.0111429385642359	4.81373520664846
ENSG00000023445	BIRC3	1717_s_at	0.5	0.440379394619435	1.14657951124929	0.5	0.38713319289845	1.21187698275141
ENSG00000023516	AKAP11	34657_at	-0.4	0.255638853496846	-1.67617128805588	-0.5	0.158664770685663	-2.05043657701636
ENSG00000023608	SNAPC1	35488_at	-0.3	0.0645290248054631	-2.852199203925	-0.3	0.171455614016982	-1.98238141732991
ENSG00000023734	STRAP	34402_at	-0.4	0.163479084782147	-2.06633884536565	-0.4	0.201701082666962	-1.832944181553
ENSG00000023839	ABCC2	33721_at	0.2	0.650180158091717	0.701283403657681			
ENSG00000023909	GCLM	33163_r_at	0.1	0.78733083863528	0.423444951302163			
ENSG00000024048	UBR2	39797_at				-0.2	0.419559991138105	-1.12850605850894
ENSG00000024862	CCDC28A	34821_at	-0.2	0.588987206208123	-0.822012615411618	-0.4	0.146929667551019	-2.13268777890203
ENSG00000025039	RRAGD	32963_s_at	-0.3	0.110491407386295	-2.42109035662937	-0.2	0.124073698024167	-2.2830941946709
ENSG00000025423	HSD17B6	37512_at	-0.5	0.110212958569473	-2.42317128796626	-0.2	0.644638647413775	-0.658868202493946
ENSG00000025434	NR1H3	512_at				0.1	0.796662272427942	0.383153307630896
ENSG00000025708	TYMP	36879_at	0.7	0.103232682459746	2.47222394380088	1.0	0.0267161180008124	3.79674800545003
ENSG00000025796	SEC63	34349_at	-0.4	0.176250110959934	-2.00451069411674	-0.5	0.227084976319079	-1.71923739239325
ENSG00000025800	KPNA6	40275_at	0.4	0.00719551639902452	4.60663696043518	0.4	0.0304763803538118	3.65104511220069
ENSG00000026025	VIM	34091_s_at	-0.1	0.831812449262004	-0.33504272074135	0.4	0.353971636949629	1.29907418488471
ENSG00000026508	CD44	40493_at	-0.2	0.459426667718677	-1.09945134603488	-0.1	0.872057045743615	-0.250377061661418
ENSG00000026559	KCNG1	37498_at	0.1	0.763855766204987	0.468274686501587	0.1	0.710752137801961	0.537651932702196
ENSG00000026950	BTN3A1	32629_f_at	0.4	0.240865625539677	1.72296661823764	0.4	0.140072628386744	2.17124212258481
ENSG00000027697	IFNGR1	1038_s_at	-0.5	0.130260661463775	-2.26855522578205	-0.6	0.136810037761028	-2.19434181948858
ENSG00000027869	SH2D2A	34432_at				0.2	0.175997738689819	1.95827490861094
ENSG00000028116	VRK2	33124_at	-0.1	0.632884163005149	-0.736298381061257	-0.1	0.592290608719882	-0.762162590198599
ENSG00000028137	TNFRSF1B	33813_at	0.4	0.0476987461036414	3.11257340533387	0.5	0.120813336876439	2.31240197074254
ENSG00000028277	POU2F2	37417_at	0.1	0.403131791416151	1.23532576385807	0.4	0.0196484422690302	4.14081084414689
ENSG00000028528	SNX1	36583_at				0.2	0.185936006209575	1.90413978950235
ENSG00000028839	TBPL1	31797_at	-0.3	0.193367866685347	-1.92093240993453	-0.3	0.0615773419927431	-2.9598288316883
ENSG00000029363	BCLAF1	38050_at	-0.3	0.19557467010261	-1.91234792111364	-0.4	0.179543914376747	-1.93743180857723
ENSG00000029559	IBSP	35131_at	0.2	0.138665589210312	2.20924687084495	0.4	0.0341767466526267	3.52955028691834
ENSG00000029725	RABEP1	32741_at	0.1	0.643248894429662	0.718311836345374	0.4	0.121980249824139	2.30219197178377
ENSG00000030066	NUP160	34253_at	-0.3	0.261168736843599	-1.65774320415185	-0.5	0.0887901967782033	-2.5957216243833
ENSG00000030582	GRN	41198_at	0.3	0.199434655341801	1.89367093199837	0.2	0.472813913640119	1.00769194061408
ENSG00000032219	ARID4A	1784_s_at	-0.6	1.62617536889257E-4	-7.13456295968936	-0.5	0.00629792889641764	-5.4031468583116
ENSG00000032444	PNPLA6	34874_at	0.3	0.46558459057967	1.08240053082074	0.3	0.28257801470823	1.5153128518076
ENSG00000032742	IFT88	34284_at				-0.2	0.332880926174287	-1.36145625743514
ENSG00000033170	FUT8	41628_at	-0.3	0.157345078767429	-2.09565362848425	-0.2	0.647941796293414	-0.651907538223769
ENSG00000033327	GAB2	35253_at				-0.1	0.624167444305761	-0.696892728713945
ENSG00000033800	PIAS1	36573_at				-0.2	0.157769170127707	-2.05538436186692
ENSG00000033867	SLC4A7	34936_at	-0.7	0.0386422706971052	-3.35501458012784	-0.8	0.0235482638068323	-3.93633403556485
ENSG00000034152	MAP2K3	1622_at	0.2	0.292190781492612	1.54988121398571	0.2	0.18833163328496	1.89406188280258
ENSG00000034510	TMSB10	31481_s_at	0.8	0.00435332633569345	4.87379620497483	0.8	0.0172610849166202	4.29444330197574
