Gene ID	Gene Name	condition1.foldChange	condition1.pValue	condition2.foldChange	condition2.pValue	condition3.foldChange	condition3.pValue
ENSMUSG00000000301	Pemt	0.7	0.224575205184844	1.0	0.036842073728765	0.1	0.92709932237724
ENSMUSG00000000303	Cdh1	-0.3	0.318710220805524	-0.7	7.80164544421237E-4	-1.4	0.0752945991803261
ENSMUSG00000000305	Cdh4	-0.7	0.390468888271137	-1.4	0.0483899362420287	-0.6	0.595861164847281
ENSMUSG00000000308	Ckmt1			0.4	0.144518222559873	-2.9	2.2842218706593E-5
ENSMUSG00000000317	Bcl6b	0.1	0.898161924147792	0.6	0.386893192244793	2.7	9.11808616703137E-7
ENSMUSG00000000318	Clec10a	1.5	7.56779435018045E-4	0.5	0.522001992957902	3.8	1.55139841199966E-6
ENSMUSG00000000320	Alox12	0.3	0.756452122540705	-1.9	0.00168640689346932	0.3	0.83647988226969
ENSMUSG00000000325	ENSMUSG00000000325	-0.2	0.699740148746587	-0.2	0.729488649526869	0.9	0.0465150122820795
ENSMUSG00000000326	Comt	-0.1	0.634665165937342			-0.4	0.173019146112694
ENSMUSG00000000339	Rtca	0.1	0.731527862570433	0.1	0.911847335455252		
ENSMUSG00000000340	Dbt	0.2	0.671082528237875	0.3	0.327443989400561	0.1	0.757616357716218
ENSMUSG00000000346	Dazap2	-0.5	0.0208147854589683	-0.5	0.0971813652656749	-0.6	0.140510893083567
ENSMUSG00000000355	Mcts1			0.2	0.716415554463381	0.2	0.785302670884885
ENSMUSG00000000359	Rem1	-0.1	0.95339007283697	0.5	0.473865422492754	1.8	0.0202850524217693
ENSMUSG00000000365	Rnf17					-0.5	0.778725657438392
ENSMUSG00000000374	Trappc10			-0.4	0.0910451436006189	-0.8	0.0561285789640306
ENSMUSG00000000378	Ccm2	0.3	0.231687208436179	0.3	0.380266933284753	0.3	0.415772058859772
ENSMUSG00000000384	Tbrg4	0.5	0.0467423039780104	0.4	0.249807577770505	-0.7	0.0214286844383778
ENSMUSG00000000385	Tmprss2	0.2	0.542546947897241	-0.3	0.208970565934831	-2.9	8.27891297503123E-6
ENSMUSG00000000386	Mx1	0.8	0.119012449106631	1.1	0.0175324400971802	2.4	0.0163051192837419
ENSMUSG00000000392	Fap	-0.9	0.103984849355877	-0.8	0.179136299705015		
ENSMUSG00000000394	Gcg	1.5	2.73065966694314E-8	1.8	1.02358165541583E-7	4.2	6.00301037839858E-9
ENSMUSG00000000399	Ndufa9	0.4	0.0730042395730992	0.6	0.035876301865219	-0.9	0.0118947163186022
ENSMUSG00000000402	Egfl6	0.9	0.242770030887441			0.9	0.480286939689865
ENSMUSG00000000409	Lck	1.3	0.0255108639300868	2.7	1.87965872940693E-10	1.9	0.00768730128269159
ENSMUSG00000000416	Cttnbp2	-0.5	0.298169701675701	0.5	0.304976339864872	0.2	0.70210531393877
ENSMUSG00000000420	Galnt1	0.4	0.0811028013453525	0.1	0.822811284650811	0.5	0.0746506605428117
ENSMUSG00000000439	Mkrn2	-0.4	0.166769718448871	-0.5	0.107331037377327	-0.8	0.00999815106213132
ENSMUSG00000000440	Pparg			-0.1	0.724656957768496	-2.0	2.50353302912885E-6
ENSMUSG00000000441	Raf1			-0.6	0.0563767542572129	-0.5	0.0631520613326326
ENSMUSG00000000486	Septin1	1.1	0.0237252709130117	2.3	3.24225141680576E-9	1.7	0.00204202266239114
ENSMUSG00000000489	Pdgfb	0.5	0.360739886601413	1.0	0.0191696567844893	2.6	2.15860034983235E-7
ENSMUSG00000000530	Acvrl1	0.4	0.253939572133689	0.6	0.0908811716730613	2.4	1.65962213452637E-11
ENSMUSG00000000531	Tamalin	0.4	0.41143889920178	0.6	0.267047988066655	1.8	0.00197956159841118
ENSMUSG00000000532	Acvr1b	-0.2	0.582643159652602	-0.3	0.277238079804767	-0.6	0.0518160315299844
ENSMUSG00000000538	Tom1l2	-0.9	4.67634682720067E-4	-1.0	6.74758703354272E-7	-1.0	0.0094835209116669
ENSMUSG00000000544	Gpa33	-0.2	0.572437287846089	-0.4	0.194622126205287	-2.0	0.00983728105784032
ENSMUSG00000000552	Zfp385a	0.6	0.164779721996189	0.4	0.546404767406161	1.6	0.0151058846519008
ENSMUSG00000000555	Itga5	-0.2	0.76223373621151	0.1	0.921828369993664	2.1	1.92166402321339E-5
ENSMUSG00000000560	Gabra2					1.4	0.319472210447685
ENSMUSG00000000561	Wdr77	0.4	0.336048522040532	0.3	0.508209737566611	0.8	0.0487663149374413
ENSMUSG00000000562	Adora3			-0.6	0.575485328921391	3.0	4.58433858694065E-5
ENSMUSG00000000563	Atp5pb	0.2	0.594787816771356	0.2	0.513359716052198	-0.8	0.0840717256039495
ENSMUSG00000000567	Sox9	-0.5	0.203990113835097	-0.2	0.632675677486225	-1.2	0.184976615116608
ENSMUSG00000000568	Hnrnpd	0.2	0.266938083343975	0.2	0.505205831527732	-0.2	0.533327984760823
ENSMUSG00000000579	Dynlt1c	-0.2	0.831457072269788	-0.2	0.839594535630146	-0.7	0.406675469426814
ENSMUSG00000000581	C1d	-0.1	0.834466837778671	-0.2	0.647820138024528	-0.2	0.711460166206169
ENSMUSG00000000594	Gm2a	0.2	0.524944463202057	0.9	1.22246526117661E-4	1.2	0.00487303238636788
ENSMUSG00000000600	Krit1	-0.2	0.449119043438488	-0.4	0.408661122783267	0.2	0.608084857587167
ENSMUSG00000000605	Clcn4	-0.5	0.0374585290737062	-0.6	0.038513009840328	-0.6	0.113703272817426
ENSMUSG00000000627	Sema4f	0.5	0.594288207613946	0.7	0.404707449259432	2.3	7.09948240442767E-4
ENSMUSG00000000628	Hk2	0.2	0.455590970164362	-0.5	0.0497579235378996	0.5	0.597718315876356
ENSMUSG00000000631	Myo18a			-0.4	0.0943833504962439	-1.1	0.0262392663496534
ENSMUSG00000000632	Sez6	-0.3	0.719768874067199	0.5	0.567613121381831	2.1	0.00263364604190165
ENSMUSG00000000673	Haao	0.8	0.294923638015913	2.0	0.00292166089711383	2.6	0.0242765563392169
ENSMUSG00000000682	Cd52	0.7	0.404550523088545	1.6	0.0338032256374232	3.5	9.62919522048952E-5
ENSMUSG00000000686	Abhd15			1.1	0.170958188606963	2.3	0.0463925848908865
ENSMUSG00000000690	Hoxb6	0.2	0.718873984146906	-0.9	0.0299764406254907		
ENSMUSG00000000693	Loxl3	0.2	0.690785965564383	0.3	0.686183265072843	1.5	1.79576290230934E-4
ENSMUSG00000000706	Btn1a1			2.6	1.88458086405911E-4		
ENSMUSG00000000708	Kat2b	-0.5	0.0359074683261146	-0.6	0.061041358863787	-0.1	0.722126430965248
ENSMUSG00000000711	Rab5b	-0.6	0.00145236005019896	-0.4	0.120122339095235	-0.4	0.105455987345247
ENSMUSG00000000730	Dnmt3l			1.1	0.193391957387442	4.1	2.96932282319187E-6
ENSMUSG00000000731	Aire			0.5	0.598251319596884	-0.2	0.946275734247999
ENSMUSG00000000732	Icosl	-0.9	5.43303549761673E-4	-0.7	0.0200879520686019	-0.8	0.0208613112872665
ENSMUSG00000000738	Spg7	0.1	0.795665345789544	-0.1	0.873387922517056	-1.1	7.10629823752996E-5
ENSMUSG00000000739	Sult5a1	0.5	0.601695534761137	0.1	0.95377755671054	2.0	0.0603454502584278
ENSMUSG00000000740	Rpl13	0.7	4.72861622547186E-4	1.0	0.00214068886713878	0.3	0.442634534185113
ENSMUSG00000000743	Chmp1a	-0.2	0.400521091634927	-0.2	0.483774866862569	-1.2	0.0082885991283742
ENSMUSG00000000751	Rpa1	0.4	0.186345342143825	0.1	0.822944059262953	0.2	0.645625418869375
ENSMUSG00000000753	Serpinf1	0.3	0.435642036065118	-0.8	0.0511855410488244	0.8	0.269638464021805
ENSMUSG00000000759	Tubgcp3	-0.3	0.167054634689385	-0.5	0.0832278723995797	-0.2	0.556054333132307
ENSMUSG00000000766	Oprm1					2.8	0.0507070810940041
ENSMUSG00000000776	Polr3d	0.5	0.099725791424654	0.4	0.376993442064623	0.7	0.107934611718913
ENSMUSG00000000782	Tcf7	0.9	0.0813491407419827	1.6	2.35564900521016E-4	1.7	0.00203353972197151
ENSMUSG00000000787	Ddx3x			-0.6	0.0731975952113168	0.3	0.378633463602747
ENSMUSG00000000791	Il12rb1	1.7	0.0146838161636158	2.4	5.34171267353776E-4	4.5	7.42657090621897E-5
ENSMUSG00000000792	Slc5a5	0.9	0.148797879552362			0.1	0.918138058070841
ENSMUSG00000000794	Kcnn3	-0.4	0.496791497709007	0.1	0.874731101834261	2.4	1.38539070255992E-4
ENSMUSG00000000804	Usp32	-0.6	0.0318576954329948	-0.7	0.055911170645888	-0.3	0.473247944042878
ENSMUSG00000000805	Car4	-1.7	5.15704682506353E-9	-1.0	1.73222816826347E-4	-2.8	0.00245471177903277
ENSMUSG00000000811	Txnrd3	-0.3	0.343811497974259	-0.3	0.39808341065701	-0.6	0.459426786204242
ENSMUSG00000000817	Fasl					1.8	0.272504224415363
ENSMUSG00000000823	Zfp512b	-0.2	0.555794132058397	-0.6	0.0617488601830297	-0.1	0.824928571712741
ENSMUSG00000000826	Dnajc5	-1.0	2.37624856411058E-6	-1.6	3.66283067897834E-15	-1.3	0.00225562633399219
ENSMUSG00000000827	Tpd52l2	-0.2	0.562869784765806	-0.2	0.579703986135083	0.2	0.626351089743408
ENSMUSG00000000838	Fmr1	-0.7	9.34121173730722E-4	-1.1	0.00204783127820645	-1.0	0.00321882151870545
ENSMUSG00000000861	Bcl11a	0.7	0.0450371019235022	0.8	0.0419623224129556	0.4	0.445307397379979
ENSMUSG00000000869	Il4			0.2	0.836607545986869	1.4	0.151173318263668
ENSMUSG00000000876	Pxmp4	0.3	0.245085773988142	0.3	0.26011093939065	-0.8	0.00555761059058285
ENSMUSG00000000881	Dlg3	0.2	0.420403726836388	-0.3	0.351541533594766	-0.7	0.159030986890494
ENSMUSG00000000884	Gnb1l	0.7	0.286914115713046	1.0	0.0817865337502424	0.9	0.201101544860717
ENSMUSG00000000889	Dbh	-0.2	0.787139151448277	2.1	4.33206936177922E-6	3.7	1.11284319401565E-6
ENSMUSG00000000901	Mmp11	-0.3	0.735912490653139	0.3	0.662184857593828	1.6	0.029930729569155
ENSMUSG00000000902	Smarcb1	0.7	0.00427437912125449	0.7	0.0456651397515459	0.2	0.620234187298143
ENSMUSG00000000903	Vpreb3	0.2	0.877846372431359	1.6	0.0295810855078373	1.6	0.30201295584899
ENSMUSG00000000915	Hip1r	0.7	0.00257388988281506	0.4	0.22917253772326	-0.1	0.898222940820977
ENSMUSG00000000916	Nsun5					0.3	0.431868436215046
ENSMUSG00000000934	Top1mt	0.5	0.228763801069783	0.2	0.681022167964233	0.3	0.531647652438389
ENSMUSG00000000938	Hoxa10	0.3	0.383685973214708	0.4	0.219463238457632	-0.6	0.0757489911014752
ENSMUSG00000000942	Hoxa4	0.8	0.296199507060521	1.0	0.208315063384163	1.7	0.0308753949423185
ENSMUSG00000000948	Gm38393	-0.2	0.88980692618051	0.4	0.682127654925386	1.5	0.141554097411227
ENSMUSG00000000957	Mmp14	1.4	3.60740845382066E-14	1.3	3.95561016509525E-5	3.4	6.19640063280466E-15
ENSMUSG00000000958	Slc7a7	0.6	0.0355661357644577	0.5	0.124697444018299	0.1	0.946386598101599
ENSMUSG00000000959	Oxa1l	0.2	0.422770124850142	0.5	0.0887635088549763	-0.6	0.144992178600698
ENSMUSG00000000976	Heatr6	-0.1	0.719607310627472	-0.3	0.365946039330376	-0.3	0.522919785585986
ENSMUSG00000000982	Ccl3					8.3	1.58942279785584E-27
ENSMUSG00000000983	Wfdc18	2.0	2.85793876805612E-8	3.3	9.3890251485378E-20	3.9	4.12991315018896E-9
ENSMUSG00000001016	Ilf2	0.3	0.224806783492095	0.5	0.0580021405361557	0.5	0.16567597461805
ENSMUSG00000001017	Chtop	-0.1	0.791966534745456			0.1	0.864860779969025
ENSMUSG00000001018	Snapin	0.1	0.900495076808647	0.2	0.611331380503389	0.3	0.492275454883071
ENSMUSG00000001020	S100a4	0.5	0.563188808393781	-0.1	0.915962059983171	1.5	0.125232420167571
ENSMUSG00000001021	S100a3	1.1	0.156128967507992	-0.5	0.661893578734532	-0.4	0.849796117617845
ENSMUSG00000001025	S100a6	-0.6	0.0206850273848527	-0.8	0.00311283114070904	-1.5	3.3108639642515E-4
ENSMUSG00000001027	Scn4a	0.9	0.224806783492095	0.9	0.351289768656675	1.0	0.598355594195959
ENSMUSG00000001029	Icam2	0.8	0.304943386359182	1.6	0.00602222910314946	3.0	4.94994305792116E-5
ENSMUSG00000001034	Mapk7	0.2	0.609731974392869	0.1	0.910240525303602	0.1	0.891534794210247
ENSMUSG00000001036	Epn2	0.1	0.719170300812172	-0.1	0.741903235011973	2.3	3.41480843081851E-8
ENSMUSG00000001039	B9d1	0.6	0.200104301416303	0.6	0.304681666411014	1.2	0.0120171614971802
ENSMUSG00000001052	Sec24b	-0.2	0.45849999522146	-0.6	0.016833560763307		
ENSMUSG00000001053	N4bp3	1.0	0.0010272634736724	0.9	0.0134012049563237	0.8	0.15073180934678
ENSMUSG00000001054	Rmnd5b	0.5	0.0473505588655477	0.3	0.472597908625729	-0.1	0.886670439727501
ENSMUSG00000001056	Nhp2	1.2	7.40843477604813E-8	1.1	9.32879487095341E-4	1.2	5.00891348094447E-4
ENSMUSG00000001062	Vps9d1			-0.1	0.757579604208701	-0.4	0.46490498706781
ENSMUSG00000001065	Zfp276	-0.2	0.602860787739105	-0.6	0.0311295200658281	-0.5	0.0977599201742007
ENSMUSG00000001082	Mfsd10	1.0	4.42103152680346E-4	1.3	4.59819295755149E-4	1.6	9.37557747003554E-5
ENSMUSG00000001089	Luzp1	-0.9	2.02449801884511E-4	-1.3	1.23264679022969E-6	-1.3	3.55658068981493E-5
ENSMUSG00000001095	Slc13a2	1.6	2.9905193924653E-7	2.5	8.31634289797957E-19	-2.6	1.87127216313525E-4
ENSMUSG00000001098	Kctd10	0.1	0.67851814275518	-0.5	0.0475986827523995	0.4	0.142847297941478
ENSMUSG00000001100	Poldip2	0.2	0.561341989421416	0.2	0.60180110039741	-0.2	0.473661843434687
ENSMUSG00000001105	Ift20	0.2	0.515645464434137	0.3	0.273121210573865	-0.2	0.720251596489412
ENSMUSG00000001119	Col6a1	0.3	0.321806791132767	0.4	0.206033649007765	2.4	3.62649430108241E-8
ENSMUSG00000001120	Pcbp3	-0.2	0.807212033387991	0.1	0.893507594396243	2.0	9.27234312864572E-6
ENSMUSG00000001123	Lgals9	1.6	1.58951803853255E-11	1.7	7.45853642234454E-11	1.1	0.0661924974528156
ENSMUSG00000001127	Araf			0.1	0.751485623961687	-0.2	0.437634902004288
ENSMUSG00000001128	Cfp	1.3	2.42763007181962E-5	1.3	0.00108634391346655	3.7	5.03614114038898E-32
ENSMUSG00000001131	Timp1	0.9	0.127265029608262	0.3	0.671976584606785	5.4	2.60458758983126E-15
ENSMUSG00000001134	Uxt	0.3	0.522823953403629	0.4	0.390287451810484	-0.1	0.826335236897319
ENSMUSG00000001138	Cnnm3	-0.4	0.241354903751407	-0.5	0.193391957387442	-0.6	0.333756064705631
ENSMUSG00000001143	Lman2l	-0.2	0.582723540759672			-0.2	0.640155525611606
ENSMUSG00000001150	Mcm3ap	-0.3	0.26271733887865	-0.6	0.0247488051641819	-0.2	0.536954730805172
ENSMUSG00000001151	Pcnt	-0.3	0.406461830878146	-0.5	0.110667639945965	-0.1	0.931802359883521
ENSMUSG00000001155	Ftcd					3.5	0.0143014963508744
ENSMUSG00000001156	Mxd1	-0.5	0.0898689090469782	-1.1	2.29047502585786E-6	-1.4	0.0234989567294244
ENSMUSG00000001157	Gmcl1	-0.2	0.573690686496835	-0.1	0.893075087373743	-1.0	0.00976617489207925
ENSMUSG00000001158	Snrnp27			0.1	0.828120349486927	0.1	0.926904853184879
ENSMUSG00000001166	Oas1c			0.4	0.420081683683721	-0.7	0.28477975055193
ENSMUSG00000001168	Oas1h	-0.3	0.726422804626793	-0.2	0.878352498281181	-3.9	0.00224256885848044
ENSMUSG00000001173	Ocrl	-0.2	0.709119920188863	-0.1	0.867920713187944	0.3	0.593532919979137
ENSMUSG00000001175	Calm1	0.1	0.617665658935307	-0.2	0.381660012079027	-0.9	0.0474857184076708
ENSMUSG00000001211	Agpat3					0.3	0.290193515462585
ENSMUSG00000001225	Slc26a3	-1.5	7.18908481590887E-8	-1.4	1.52841845926637E-6	-5.6	8.6725581449462E-12
ENSMUSG00000001227	Sema6b	1.3	9.50690058363712E-4	0.8	0.175959358715996	3.0	3.33291302328401E-4
ENSMUSG00000001228	Uhrf1	1.8	4.10317479009763E-8	1.3	0.00463584557616599	1.1	0.032937337399681
ENSMUSG00000001229	Dpp9	0.5	0.130056034745689	0.1	0.853852109715787	0.4	0.401490281058339
ENSMUSG00000001240	Ramp2	0.3	0.604629003779514	0.8	0.0870432415983223	2.6	4.87058663280444E-10
ENSMUSG00000001247	Lsr	0.1	0.739491028189103	-0.6	0.0821770857906039	-1.8	0.00858439906231025
ENSMUSG00000001248	Gramd1a	0.9	0.00695418177147729	1.4	7.65050252431362E-7	3.3	2.33718908105777E-15
ENSMUSG00000001249	Hpn			1.9	1.01049758516264E-6	-0.4	0.693788772200922
ENSMUSG00000001260	Gabrg1					3.6	0.0267107580800254
ENSMUSG00000001270	Ckb	-0.4	0.488980285321968	-0.4	0.412541193299026	-1.3	0.0132821131928779
ENSMUSG00000001280	Sp1	-0.4	0.123891666345722	-0.5	0.109862504268108	-0.4	0.0803204042286179
ENSMUSG00000001281	Itgb7	1.8	5.97583530335741E-5	2.8	4.5699845858903E-11	3.3	5.5206315060527E-6
ENSMUSG00000001285	Myg1	0.4	0.151714304326767	0.5	0.202781109484154	-0.1	0.732312097542555
ENSMUSG00000001288	Rarg	0.6	0.0598331510303581	0.4	0.259855266651315	1.3	0.0053395944549917
ENSMUSG00000001289	Pfdn5	-0.2	0.549217680011887	0.1	0.687567173462212	-0.1	0.664749742360784
ENSMUSG00000001300	Efnb2	-0.3	0.291983220574808	-1.0	2.29664458064578E-6	-1.8	1.81452886552537E-4
ENSMUSG00000001305	Rrp15	0.5	0.210185370079113	0.3	0.507440128418396	0.9	0.0193120327788724
ENSMUSG00000001313	Rnd2	0.1	0.944665398187239	0.2	0.747555007756119	0.9	0.110572041091652
ENSMUSG00000001323	Srr	-1.0	1.61300904644167E-4	-1.0	4.82032526007168E-4	-1.7	4.80809833803921E-6
ENSMUSG00000001333	Sync	0.3	0.700953411496577	0.3	0.766248503997512	1.1	0.102013156254945
ENSMUSG00000001334	Fndc5	-2.4	5.97217908019436E-7	-1.3	0.00351116567430227	-1.7	0.00245471177903277
ENSMUSG00000001348	Acp5			0.3	0.348951733078566	-0.8	0.00369328641815731
ENSMUSG00000001349	Cnn1	-0.6	0.198456956924389	0.3	0.494903531020039	-0.7	0.203437231891822
ENSMUSG00000001366	Fbxo9			-0.2	0.556175445666106	-0.6	0.0896670910945172
ENSMUSG00000001376	Vps50	-0.1	0.790681393725571	-0.4	0.292446079361208	-0.5	0.303588402243679
ENSMUSG00000001380	Hars	0.5	0.0191861015533017	0.4	0.221146989245489	0.5	0.0622739066622879
ENSMUSG00000001383	Zmat2			0.1	0.708867903534685	-0.1	0.814641639780375
ENSMUSG00000001403	Ube2c	1.7	7.32581449155805E-12	1.8	4.10392754038694E-10	1.0	0.233744175918564
ENSMUSG00000001415	Smg5	0.1	0.599582561486786	-0.2	0.637986990416495	-0.1	0.900173237921355
ENSMUSG00000001416	Cct3	0.8	1.57448800127671E-4	0.7	0.018828903376495	0.7	0.0102975793448923
ENSMUSG00000001418	Glmp			0.1	0.838665000747809	-0.8	0.0209801361515123
ENSMUSG00000001419	Mef2d	0.2	0.594067549065137	-0.5	0.0454588303591826	-0.1	0.850776972290363
ENSMUSG00000001420	Tmem79	0.3	0.220685927711452	-0.3	0.482159098633541	-1.6	0.00683676642532658
ENSMUSG00000001424	Snd1	1.4	6.2452102543526E-11	1.1	0.00115992668445793	0.9	0.00559662263817191
ENSMUSG00000001435	Col18a1	1.2	3.52047755513054E-6	1.1	0.00446449202782903	4.5	6.31486484575172E-27
ENSMUSG00000001436	Slc19a1	0.2	0.607479429520287	0.2	0.620543637736463		
ENSMUSG00000001440	Kpnb1	0.3	0.224806783492095	-0.1	0.737421569832783	0.3	0.447373706996039
ENSMUSG00000001441	Npepps	-0.1	0.813380453693621	-0.2	0.443554273127681	-0.4	0.370032828057043
ENSMUSG00000001444	Tbx21	1.2	0.108262275952305	2.3	0.00128626319018169	2.7	0.0916354939931082
ENSMUSG00000001445	Mrpl10	0.2	0.44833667886829	0.2	0.580197022918031	-0.7	0.0297458189736546
ENSMUSG00000001467	Cyp51	1.2	3.29305799916262E-8	0.8	0.00123701059843908	-0.9	0.0330289672259156
ENSMUSG00000001472	Tcf25	-0.3	0.231074457762022	-0.4	0.116566646282188	-0.1	0.713831579875552
ENSMUSG00000001473	Tubb6	0.4	0.294923638015913	0.2	0.677329063285599	1.9	1.00498845451475E-4
ENSMUSG00000001482	Def8					0.7	0.034036351097526
ENSMUSG00000001493	Meox1	0.5	0.411787962842549	0.6	0.331016308137132	2.6	8.97144839974081E-6
ENSMUSG00000001497	Pax9	0.2	0.875385897095801	-2.2	0.00316616256963513	0.1	0.948708152566348
ENSMUSG00000001504	Irx2	1.5	0.031828255949605				
ENSMUSG00000001506	Col1a1	0.9	0.0247163177930989	0.6	0.483614801735216	2.3	2.59553405610976E-5
ENSMUSG00000001507	Itga3	0.4	0.181695041671842	-0.3	0.421474945124096	0.1	0.943015898566455
ENSMUSG00000001508	Sgca	-0.5	0.541681172914159	-0.2	0.795975844336471	-1.3	0.118745335638763
ENSMUSG00000001510	Dlx3	0.8	0.329645888191389			0.9	0.595971305906902
ENSMUSG00000001517	Foxm1	1.3	2.61750362662975E-4	0.9	0.0460221658198655	0.8	0.259466381479243
ENSMUSG00000001518	Itfg2	0.1	0.775140591044707	0.3	0.385739717271028	-0.2	0.649563629423265
ENSMUSG00000001520	Nrip2	0.5	0.573496714024243	0.4	0.640393108291465	0.8	0.477168075867907
ENSMUSG00000001521	Tulp3	0.8	0.0538160215889229	0.6	0.227851905024725	2.1	8.54484725527309E-8
ENSMUSG00000001524	Gtf2h4	0.7	0.0162262825465622	0.8	0.0442139442783931		
ENSMUSG00000001525	Tubb5	1.0	3.59687312429248E-4	0.9	0.0214550576637806	1.2	0.00279506983018598
ENSMUSG00000001542	Ell2	-0.7	9.06789869790164E-4	-0.5	0.21910143948062	-0.1	0.835420319665095
ENSMUSG00000001552	Jup	0.2	0.676399460493979	-0.2	0.676664124080384	-1.1	0.139771497575655
