Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'dextran sodium sulphate induced colitis' at '2 day' vs 'normal' at '0 day'.tStat	condition2.foldChange	condition2.pValue	'dextran sodium sulphate induced colitis' at '7 day' vs 'normal' at '0 day'.tStat
ENSMUSG00000000409	Lck	1425396_a_at	-0.2	0.538049686918937	-1.37172233559304	-0.2	0.460690264182918	-1.10255067064545
ENSMUSG00000000416	Cttnbp2	1435435_at	-0.1	0.91371991018789	-0.323070436895006	-0.9	0.0734851141984692	-2.89312300779649
ENSMUSG00000000440	Pparg	1420715_a_at	-0.5	0.651967123478788	-1.09184987058921	-0.3	0.643951811554459	-0.711384165522421
ENSMUSG00000000530	Acvrl1	1435825_at				0.2	0.311285734806217	1.49995734046323
ENSMUSG00000000531	Tamalin	1441894_s_at				0.5	0.267985706489604	1.65130045243648
ENSMUSG00000000544	Gpa33	1419330_a_at	0.2	0.589034252681353	1.25268770981847	-0.1	0.811190553045207	-0.390531165880356
ENSMUSG00000000555	Itga5	1423267_s_at	0.2	0.386179659304687	1.77080462698034	0.6	0.057843869085541	3.11626739692736
ENSMUSG00000000561	Wdr77	1422844_a_at				-0.1	0.715625442136821	-0.567812064217576
ENSMUSG00000000563	Atp5pb	1433562_s_at				-0.2	0.379539761086546	-1.30529294751197
ENSMUSG00000000567	Sox9	1424950_at	-0.2	0.506866076379676	-1.45444813171056	-0.6	0.179896183033974	-2.0548094071783
ENSMUSG00000000568	Hnrnpd	1425142_a_at	0.2	0.290881721809494	2.0506980243682	0.5	0.0365430903011491	3.54686584393974
ENSMUSG00000000594	Gm2a	1448241_at				0.2	0.420229492985044	1.200174527938
ENSMUSG00000000605	Clcn4	1415986_at	0.2	0.541461132937079	1.35993991142514	0.1	0.478881289310059	1.06116435055318
ENSMUSG00000000628	Hk2	1422612_at				0.8	0.0931655265595683	2.6759810881497
ENSMUSG00000000631	Myo18a	1451422_at	0.2	0.496175596127562	1.48196294288951	0.3	0.271709502623407	1.636297390421
ENSMUSG00000000682	Cd52	1460218_at	-0.5	0.386385269874917	-1.77010496380288	0.1	0.872026214638841	0.267636727655285
ENSMUSG00000000686	Abhd15	1445506_at				0.3	0.218787945092676	1.85226291016912
ENSMUSG00000000690	Hoxb6	1451660_a_at	-0.1	0.967377087415882	-0.141082019405375	0.3	0.742572853119882	0.517848672433922
ENSMUSG00000000693	Loxl3	1418269_at				0.2	0.286907766796228	1.58422000467204
ENSMUSG00000000706	Btn1a1	1419175_a_at	0.2	0.785174904134347	0.693802301816297	-0.5	0.144662379820946	-2.2718910945149
ENSMUSG00000000730	Dnmt3l	1425035_s_at				0.2	0.122253849578847	2.42483613854773
ENSMUSG00000000738	Spg7	1427166_a_at				-0.1	0.667764701826588	-0.66250180834676
ENSMUSG00000000739	Sult5a1	1449816_at				0.2	0.32973571985665	1.44507057140894
ENSMUSG00000000743	Chmp1a	1451098_at				0.1	0.547893334433375	0.911555390778024
ENSMUSG00000000751	Rpa1	1437309_a_at	-0.5	0.0278770788532145	-4.01047192135615			
ENSMUSG00000000753	Serpinf1	1453724_a_at				0.1	0.647304723129491	0.704319081926239
ENSMUSG00000000787	Ddx3x	1423043_s_at				0.2	0.276969240311011	1.61739473959277
ENSMUSG00000000805	Car4	1448949_at				-0.5	0.499827241375953	-1.01356659896125
ENSMUSG00000000817	Fasl	1449235_at	0.1	0.799233751312294	0.660510567997646	0.1	0.701161420762854	0.598364255772801
ENSMUSG00000000823	Zfp512b	1436184_at				0.1	0.416796373312931	1.20805993807596
ENSMUSG00000000826	Dnajc5	1436180_at	-0.2	0.294217924057496	-2.03900787942431			
ENSMUSG00000000861	Bcl11a	1419406_a_at	-0.2	0.728604126774018	-0.871931680119685	-0.3	0.333255922108581	-1.43495279117719
ENSMUSG00000000876	Pxmp4	1422780_at				-0.2	0.191919251985334	-1.98694257111025
ENSMUSG00000000881	Dlg3	1416918_at				-0.2	0.285380872369226	-1.58973013271645
ENSMUSG00000000901	Mmp11	1417234_at				0.3	0.299340290440563	1.54017194303687
ENSMUSG00000000915	Hip1r	1425553_s_at				-0.1	0.851023709294809	-0.311251908797868
ENSMUSG00000000938	Hoxa10	1431475_a_at	0.3	0.773252032980574	0.73961692659835	0.1	0.919386825066979	0.171672496820005
ENSMUSG00000000957	Mmp14	1448383_at	0.3	0.538049686918937	1.37285495889388	1.4	0.0381961115993121	3.5082717680946
ENSMUSG00000000958	Slc7a7	1417392_a_at	0.2	0.18825909073293	2.49941630160187	0.5	0.0103260467518722	4.78757001066384
ENSMUSG00000000976	Heatr6	1424686_at				0.1	0.57820006555374	0.849628012235651
ENSMUSG00000000982	Ccl3	1419561_at				1.8	0.0208157350899848	4.087978373743
ENSMUSG00000000983	Wfdc18	1417160_s_at	-0.3	0.591056381748389	-1.2498140043139	-0.1	0.899443471191378	-0.209964641497313
ENSMUSG00000001016	Ilf2	1417948_s_at	-0.3	0.0992887590244914	-2.99985786571376			
ENSMUSG00000001025	S100a6	1421375_a_at	0.3	0.147992044192056	2.69567967283509			
ENSMUSG00000001029	Icam2	1448862_at				0.3	0.310331339264692	1.50293955432724
ENSMUSG00000001036	Epn2	1433915_s_at				0.7	0.0825776186542103	2.78942563607224
ENSMUSG00000001039	B9d1	1417596_at				-0.1	0.447685755210283	-1.13052863806757
ENSMUSG00000001056	Nhp2	1416606_s_at	-0.4	0.0827233415691123	-3.14506606111365	0.1	0.713361710041649	0.572451459789383
ENSMUSG00000001082	Mfsd10	1416358_at				0.3	0.0612334561056502	3.05364807098231
ENSMUSG00000001095	Slc13a2	1418857_at	-0.1	0.731610431058219	-0.863267124618101	-0.5	0.340324339966649	-1.41430509314289
ENSMUSG00000001098	Kctd10	1423694_at				0.7	0.00838611427174795	5.02877061073915
ENSMUSG00000001105	Ift20	1451412_a_at	-0.2	0.404238896018058	-1.72046639900101	-0.2	0.410250973484624	-1.22313385184069
ENSMUSG00000001119	Col6a1	1448590_at	0.4	0.103976762364807	2.96869583095744	0.6	0.253667603923689	1.71185026390459
ENSMUSG00000001120	Pcbp3	1417526_at				0.3	0.207362307668458	1.90428754799765
ENSMUSG00000001123	Lgals9	1421217_a_at	-0.5	0.407266212574121	-1.7077131596866	-0.4	0.112995532047282	-2.50131651194175
ENSMUSG00000001128	Cfp	1452279_at	0.2	0.235716997702158	2.27139341078676	1.0	0.0422869177675046	3.41976666352594
ENSMUSG00000001131	Timp1	1460227_at	0.1	0.900136094257324	0.367477470500907	2.2	0.00310264809139631	6.2481879768344
ENSMUSG00000001143	Lman2l	1435475_at	-0.2	0.593134105129195	-1.24061701663081	-0.2	0.380001157501368	-1.30438077949803
ENSMUSG00000001156	Mxd1	1434830_at	-0.4	0.371009908638815	-1.80961660854896	-0.5	0.266275518645418	-1.65921654426149
ENSMUSG00000001157	Gmcl1	1417113_at				-0.3	0.336608199436138	-1.42602388710701
ENSMUSG00000001158	Snrnp27	1460697_s_at				-0.3	0.0324144385317589	-3.67236761552114
ENSMUSG00000001166	Oas1c	1418686_at	-0.2	0.325161222035692	-1.93759015185426	-0.4	0.0168925634093468	-4.3102113053273
ENSMUSG00000001211	Agpat3	1450504_a_at				0.2	0.200821987869829	1.93701481844333
ENSMUSG00000001225	Slc26a3	1429467_s_at	0.4	0.732272662116244	0.86134670650311	-0.8	0.236450275169089	-1.78349257150193
ENSMUSG00000001228	Uhrf1	1415810_at	-1.1	0.00793487612131473	-5.16055934535374	-0.6	0.427659287056132	-1.18067566246588
ENSMUSG00000001229	Dpp9	1455884_at				0.3	0.095447502403522	2.65051583983985
ENSMUSG00000001240	Ramp2	1418187_at	0.4	0.00368178165751302	6.06963491361912	0.6	0.170005905186751	2.10691742204599
ENSMUSG00000001247	Lsr	1451255_at	-0.5	0.0256821209856983	-4.06272392275824	-0.9	0.0302992958299223	-3.74465238524552
ENSMUSG00000001248	Gramd1a	1416708_a_at	-0.3	0.189317148024088	-2.49382536480736	0.3	0.397161798646401	1.25756134059627
ENSMUSG00000001249	Hpn	1420712_a_at	-0.1	0.703250112352159	-0.941592513533779	-0.4	0.0158656516188635	-4.37413685480147
ENSMUSG00000001280	Sp1	1418180_at	-0.2	0.596288118418195	-1.23177119348525			
ENSMUSG00000001300	Efnb2	1419639_at	0.4	0.139601216203821	2.73866449067935	0.1	0.661297462676949	0.676376435694625
ENSMUSG00000001305	Rrp15	1417096_at				0.1	0.74721805849591	0.509326968375535
ENSMUSG00000001334	Fndc5	1453135_at	0.1	0.59402548229251	1.23805317167528	-0.4	0.0208099477569054	-4.08964876567954
ENSMUSG00000001348	Acp5	1431609_a_at	0.1	0.783675500618789	0.697645840759661	-0.1	0.479744764635761	-1.0596109581333
ENSMUSG00000001349	Cnn1	1417917_at	0.3	0.732272662116244	0.861442173582827	-0.6	0.221900075024682	-1.83967923640952
ENSMUSG00000001366	Fbxo9	1417480_at				-0.2	0.355781269412018	-1.36910898213387
ENSMUSG00000001376	Vps50	1432094_a_at				-0.1	0.664557519265207	-0.668963855225095
ENSMUSG00000001380	Hars	1438510_a_at				0.3	0.0789634947392016	2.82898042008353
ENSMUSG00000001403	Ube2c	1452954_at	-1.2	0.00274509910435908	-6.85175994935959	-0.7	0.373004063087297	-1.32315081863337
ENSMUSG00000001419	Mef2d	1434487_at				0.2	0.598707447839906	0.808110668969806
ENSMUSG00000001420	Tmem79	1430483_a_at				-0.2	0.507683793337933	-0.996360049944619
ENSMUSG00000001424	Snd1	1416038_at				0.6	0.0349814694013595	3.59534705145414
ENSMUSG00000001435	Col18a1	1426955_at	0.7	0.00289872240664659	6.35782400501912	2.2	0.00643753545837059	5.4142958787295
ENSMUSG00000001436	Slc19a1	1420138_at				-0.1	0.64699903721167	-0.705443870359615
ENSMUSG00000001441	Npepps	1417385_at				0.5	0.0405159038987078	3.44857186915725
ENSMUSG00000001444	Tbx21	1449361_at				-0.1	0.618286254801046	-0.766040312528512
ENSMUSG00000001445	Mrpl10	1418112_at				-0.1	0.482058176142738	-1.05524213868761
ENSMUSG00000001467	Cyp51	1450646_at	0.4	0.287758979722455	2.05939718484474	0.1	0.714539099187237	0.570262500302451
ENSMUSG00000001473	Tubb6	1416431_at	0.3	0.294847069356602	2.03631578047239	0.7	0.130290777642237	2.36230645815908
ENSMUSG00000001493	Meox1	1417595_at				0.2	0.354603509284659	1.37253212806226
ENSMUSG00000001506	Col1a1	1423669_at	1.0	0.0881437130231454	3.0929709225025	1.4	0.0258109051629293	3.89263064145378
ENSMUSG00000001507	Itga3	1455158_at				0.6	0.00944017683447756	4.90860907123488
ENSMUSG00000001521	Tulp3	1449008_at				0.6	0.0650080449653772	3.00398399669533
ENSMUSG00000001525	Tubb5	1416256_a_at	-0.3	0.0873113045576055	-3.10406157293065	0.2	0.21130140332553	1.88693835765721
ENSMUSG00000001552	Jup	1426873_s_at	0.2	0.241387722973914	2.24902447301365	0.1	0.678129790800064	0.641938542668836
ENSMUSG00000001555	Fkbp10	1449632_s_at	0.2	0.379128281216839	1.78887508018345	1.2	0.06250991928833	3.03621546883709
ENSMUSG00000001576	Ergic1	1437908_a_at	-0.1	0.850795252782881	-0.520418334393451	-0.7	0.0248820227747532	-3.93199703854419
ENSMUSG00000001583	Tnk1	1422721_at	0.1	0.834512146737945	0.565283355537146	-0.2	0.674918996774637	-0.648771726890578
ENSMUSG00000001604	Tcea3	1424531_a_at	0.1	0.887562906213176	0.410651757520783	-1.0	0.0779448830290685	-2.83954773953662
ENSMUSG00000001627	Ifrd1	1416067_at	-0.3	0.491360571330653	-1.49896854353446	0.1	0.884520354916709	0.242141438526318
ENSMUSG00000001630	Stk38l	1435878_at				-0.3	0.248869966229815	-1.73087683564873
ENSMUSG00000001663	Gstt1	1418186_at				-0.7	0.00873616839313442	-4.96733884159516
ENSMUSG00000001665	Gstt3	1423891_at				-0.6	0.159498970399936	-2.17409215309787
ENSMUSG00000001670	Tat	1451557_at	-0.1	0.763593811148033	-0.764187402068773	0.7	0.0879283079935839	2.73505821930897
ENSMUSG00000001672	Marveld3	1453264_at				-0.5	0.425143871625094	-1.187559070652
ENSMUSG00000001700	Gramd3	1428736_at	-0.1	0.838194528528315	-0.557052864637129	-0.1	0.829163731456433	-0.353407987493932
ENSMUSG00000001707	Eef1e1	1449044_at				-0.1	0.6267961500587	-0.747568559351662
ENSMUSG00000001729	Akt1	1416657_at				0.4	0.0248995660451073	3.92791290720975
ENSMUSG00000001739	Cldn15	1418920_at	-0.6	0.0323257580718716	-3.87197937602267	-1.4	0.067775263318516	-2.96478772958871
ENSMUSG00000001741	Il16	1417391_a_at				0.2	0.473305558417472	1.07363877321055
ENSMUSG00000001750	Tcirg1	1420635_a_at				0.4	0.0857395503820991	2.75561964541672
ENSMUSG00000001751	Naglu	1417706_at				0.2	0.355481248162049	1.37017595644727
ENSMUSG00000001763	Tspan33	1455618_x_at	-0.5	0.24544527547977	-2.22799038202787	-1.1	0.0175258750480402	-4.26379428053497
ENSMUSG00000001768	Rin2	1426368_at	0.1	0.708168989921933	0.928134169158108	-0.1	0.818211601333276	-0.376125187616548
ENSMUSG00000001774	Chordc1	1460645_at	-0.3	0.725318929368291	-0.883641904057605	-0.6	0.34755232657604	-1.39420489703827
ENSMUSG00000001785	Pwp1	1417873_at				-0.3	0.0645700330202382	-3.00938531257115
ENSMUSG00000001794	Capns1	1426400_a_at	0.2	0.259123645477406	2.17758366899995	0.4	0.022849764277448	4.01077379695184
ENSMUSG00000001819	Hoxd13	1440626_at	0.2	0.774716051138658	0.731511660644188	-0.2	0.608441041198663	-0.786673141635168
ENSMUSG00000001827	Folr1	1450995_at	-0.2	0.604964392547483	-1.20753775605471	-0.2	0.442754773320682	-1.14303023700417
ENSMUSG00000001865	Cpa3	1448730_at				0.3	0.0420938524360437	3.42381052748781
ENSMUSG00000001870	Ltbp1	1448870_at	0.3	0.11948218723619	2.86868690523072	0.8	0.114296860972111	2.49270119967477
ENSMUSG00000001891	Ugp2	1451742_a_at				-0.2	0.159282162216196	-2.17523423305153
ENSMUSG00000001909	Trmt1	1436494_x_at				-0.3	0.0927125845369482	-2.68178303588632
ENSMUSG00000001911	Nfix	1436363_a_at				-0.2	0.426383033718193	-1.1850330992386
ENSMUSG00000001918	Slc1a5	1416629_at				-0.3	0.197596728270346	-1.95301441060774
ENSMUSG00000001930	Vwf	1435386_at				0.9	0.13312800596124	2.34528291013882
ENSMUSG00000001942	Siae	1460387_a_at				-0.4	0.0317975572881088	-3.69038495812785
ENSMUSG00000001943	Vsig2	1422634_a_at	-0.4	0.512155537323824	-1.43559518141674	-0.5	0.208074972893422	-1.90158078093646
ENSMUSG00000001946	Esam	1460356_at				0.5	0.154912925644006	2.20286293522502
ENSMUSG00000001948	Spa17	1417635_at				-0.4	0.0175258750480402	-4.26261938353652
ENSMUSG00000001964	Emd	1417357_at				0.2	0.372089838760252	1.3257647915686
ENSMUSG00000001986	Gria3	1420563_at				0.2	0.302422858317282	1.52951781633484
ENSMUSG00000001995	Sipa1l2	1434261_at				0.6	0.140176917652249	2.30242642736156
ENSMUSG00000001998	Ap4e1	1440261_at				0.5	0.0349172711860777	3.60180800345455
ENSMUSG00000002007	Srpk3	1447806_s_at	-0.1	0.892796554462473	-0.39619573383381	-0.6	0.0314922735099415	-3.70606143976497
ENSMUSG00000002010	Idh3g	1416789_at				-0.2	0.234315299279162	-1.79169831694028
ENSMUSG00000002014	Ssr4	1448524_s_at				-0.5	0.0337918335622738	-3.63153169339532
ENSMUSG00000002017	Fam98a	1416445_at				-0.3	0.140949466100605	-2.29816071030628
ENSMUSG00000002028	Kmt2a	1427283_at				0.3	0.124520274130367	2.40195737527416
ENSMUSG00000002032	Tmem25	1436644_x_at	0.1	0.838108887493757	0.55885038062721	-0.5	0.357685743993899	-1.36440491304499
ENSMUSG00000002033	Cd3g	1419178_at	-0.4	0.726805800291618	-0.881367241824745	-0.3	0.439262407233776	-1.15236178499467
ENSMUSG00000002043	Trappc6a	1417034_at	-0.2	0.373607883104419	-1.8028330190071	-0.6	0.0245108862510694	-3.9538304133217
ENSMUSG00000002055	Spag5	1427498_a_at	-0.4	0.0496446888820074	-3.51551214025767	-0.3	0.249493259069022	-1.72677845317878
ENSMUSG00000002058	Unc119	1418123_at	0.2	0.812520857831137	0.625657532275314	-0.5	0.162598177793895	-2.15473280639894
ENSMUSG00000002059	Rab34	1416591_at	0.2	0.368737856784732	1.8157984364667	0.6	0.243187271495256	1.75641685670645
ENSMUSG00000002068	Ccne1	1416492_at	-0.3	0.0934436663307163	-3.04737432785908	-0.1	0.650569486963372	-0.697561613692489
ENSMUSG00000002103	Acp2	1424655_at				0.3	0.0626724780866076	3.03332576596476
ENSMUSG00000002107	Celf2	1451154_a_at	0.2	0.173339417577005	2.56686558710634	0.6	0.163965921758176	2.14555756633402
ENSMUSG00000002109	Ddb2	1436680_s_at	-0.2	0.4528536428717	-1.58037503177099	-0.4	0.0158538956059461	-4.37684786228106
ENSMUSG00000002111	Spi1	1418747_at				0.7	0.0243566812103089	3.96481878277005
ENSMUSG00000002147	Stat6	1426353_at	0.1	0.747525549889686	0.811688478372587	0.3	0.0849107022673659	2.76479468976722
ENSMUSG00000002204	Napsa	1423590_at	-0.2	0.519707620026227	-1.4162602018036	0.3	0.395896651578864	1.26151315676413
ENSMUSG00000002222	Rmnd5a	1426884_at	0.1	0.899606457163138	0.368828319451786	-0.2	0.416435989411622	-1.20953326721327
ENSMUSG00000002228	Ppm1j	1453127_at				-0.1	0.74666945711248	-0.510243199014512
ENSMUSG00000002233	Rhoc	1435394_s_at	-0.1	0.671968168046756	-1.02811257551383	-0.1	0.854431133813176	-0.303486809750142
ENSMUSG00000002250	Ppard	1439797_at				-0.3	0.348920531400798	-1.39061373675258
ENSMUSG00000002265	Peg3	1433924_at	0.2	0.716800290390703	0.905935084837545	-0.2	0.730127312058671	-0.54237116629909
ENSMUSG00000002279	Lmf1	1424259_at	-0.1	0.833369795025969	-0.573752268797968	-0.1	0.77642677065818	-0.452313636133798
ENSMUSG00000002289	Angptl4	1417130_s_at	0.3	0.49802291984983	1.47544116589316	1.9	0.0153591086600522	4.41275427064552
ENSMUSG00000002297	Dbf4	1418334_at	-0.7	0.00182296102959462	-7.54660217870523	-0.2	0.705546766133213	-0.591238597547552
ENSMUSG00000002307	Daxx	1419026_at	-0.1	0.860371195644427	-0.498989828740333			
ENSMUSG00000002308	Cd320	1417100_at	-0.4	0.260901037540658	-2.16412274956078	-0.7	0.0109364468898049	-4.73412023565631
ENSMUSG00000002319	Ipo4	1436420_a_at				0.1	0.611498168657098	0.779489591387025
ENSMUSG00000002325	Irf9	1421322_a_at	-0.3	0.570207335578219	-1.29801559320196	-0.5	0.12783363752584	-2.38091735263509
ENSMUSG00000002329	Mdp1	1450067_a_at				-0.5	0.141809418027197	-2.2926777661236
ENSMUSG00000002332	Dhrs1	1415677_at				-0.2	0.25466379601059	-1.70503342045718
ENSMUSG00000002343	Armc6	1460397_at	-0.3	0.214014687936547	-2.3823639957892	-0.1	0.693787047849136	-0.612905101146634
ENSMUSG00000002365	Snx9	1423076_at				0.3	0.21130140332553	1.88681608024154
ENSMUSG00000002379	Ndufa11	1429708_at				-0.3	0.0969352846631314	-2.63869420156096
ENSMUSG00000002384	Bmp8b	1440706_at	0.1	0.941110458868883	0.242542569086299	0.3	0.146917748901563	2.25739595201227
ENSMUSG00000002393	Nr2f6	1460648_at				-0.2	0.422658406826061	-1.19428711325458
ENSMUSG00000002395	Use1	1423817_s_at				-0.1	0.569171064831341	-0.865779547190751
ENSMUSG00000002413	Braf	1435434_at				0.2	0.372089838760252	1.32564440915896
ENSMUSG00000002416	Ndufb2	1416834_x_at				-0.3	0.252082341864888	-1.71850964925733
ENSMUSG00000002428	Hltf	1450889_at				-0.1	0.605385513381161	-0.794897750712641
ENSMUSG00000002458	Rgs19	1417786_a_at				0.2	0.497025501481526	1.02162656084607
ENSMUSG00000002475	Abhd3	1417946_at	-0.6	0.683398237837108	-0.994022905659849	-1.0	0.273357401095405	-1.63011646219373
ENSMUSG00000002477	Snrpd1	1416336_s_at	-0.5	0.0332178632356141	-3.85322023053623	-0.3	0.28907124581423	-1.57472374745257
ENSMUSG00000002489	Tiam1	1418057_at	-0.5	0.233956986752307	-2.28350548777801	-0.2	0.563002794300519	-0.879021693929822
ENSMUSG00000002504	Slc9a3r2	1439368_a_at	0.1	0.674944720888899	1.02188925738394	-0.2	0.321785078687639	-1.46860780181152
ENSMUSG00000002565	Scin	1450276_a_at	0.4	0.374365213657825	1.79967477504373	-1.8	0.0954396620308688	-2.65119249153771
ENSMUSG00000002580	Mien1	1449412_at				-0.5	0.212918386914705	-1.87787798347464
ENSMUSG00000002588	Pon1	1418190_at	0.3	0.63307722362516	1.13300253737516	-0.4	0.0619369040535919	-3.04494731884704
ENSMUSG00000002602	Axl	1423586_at	0.4	0.0196929979600369	4.29265631962338	0.9	0.135793863046121	2.33049044918316
ENSMUSG00000002603	Tgfb1	1420653_at	0.1	0.738969516874832	0.841271622519536	0.9	0.0392888287126479	3.47658045231916
ENSMUSG00000002633	Shh	1436869_at				-0.7	0.0158466095474433	-4.38139298867944
ENSMUSG00000002661	Alkbh7	1428516_a_at				-0.6	0.0627995321726012	-3.03144613403265
ENSMUSG00000002688	Prkd1	1447623_s_at	0.1	0.86372346901888	0.487664458516282	0.1	0.842311931611892	0.32760323893085
ENSMUSG00000002699	Lcp2	1418641_at				1.2	0.0249535789346791	3.91872595277856
ENSMUSG00000002718	Cse1l	1448809_at				-0.1	0.753587904823261	-0.496832220466156
ENSMUSG00000002732	Fkbp7	1416803_at	0.2	0.487519559193557	1.50735065435641	0.1	0.822989186057646	0.367425093312143
ENSMUSG00000002763	Pex6	1454738_x_at				-0.1	0.590943828582757	-0.82253635507521
ENSMUSG00000002768	Mea1	1416810_at				-0.1	0.553896098921527	-0.898231521982631
ENSMUSG00000002778	Kdelr1	1460211_a_at				-0.1	0.797983843756971	-0.415430845997419
ENSMUSG00000002804	Nudt14	1424753_at				-0.3	0.236853199004094	-1.78139659137594
ENSMUSG00000002808	Epdr1	1450380_at				0.3	0.456000261123055	1.1118471003088
ENSMUSG00000002812	Flii	1416044_at				0.3	0.140712688441046	2.29950300294269
ENSMUSG00000002820	Atg4d	1433918_at				-0.1	0.72413892517969	-0.553117243534322
ENSMUSG00000002825	Qtrt1	1450630_at				-0.2	0.398623533333033	-1.25443723253226
ENSMUSG00000002831	Plin4	1418595_at	0.2	0.698355546093482	0.953939764354962	0.3	0.355499957894533	1.36987503245608
ENSMUSG00000002844	Adprh	1448333_at				0.3	0.120752359900552	2.43931653250251
ENSMUSG00000002846	Timmdc1	1420329_at				-0.2	0.378345170556932	-1.3079753676208
ENSMUSG00000002847	Pla1a	1417785_at	0.2	0.530034863979984	1.39222628004147	1.8	0.0604611661044734	3.06914862314733
ENSMUSG00000002870	Mcm2	1434079_s_at	-0.5	0.0152857293408396	-4.53678175378478	-0.2	0.571957327090204	-0.860722414136309
