Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'acute DSS-induced colitis; 1x DSS, no recovery' vs 'none; none'.tStat	condition2.foldChange	condition2.pValue	'chronic DSS-induced colitis; 1x DSS, recovery' vs 'none; none'.tStat	condition3.foldChange	condition3.pValue	'chronic DSS-induced colitis; 2x DSS, additional recovery' vs 'none; none'.tStat	condition4.foldChange	condition4.pValue	'chronic DSS-induced colitis; 2x DSS, recovery' vs 'none; none'.tStat	condition5.foldChange	condition5.pValue	'chronic DSS-induced colitis; 3x DSS, recovery' vs 'none; none'.tStat
ENSMUSG00000000094	Tbx4	10379944							0.2	0.0546564473399256	2.75599254125016	0.2	0.124180608702359	2.19213617429663	0.3	0.0241865702337472	3.28129450725044
ENSMUSG00000000103	Zfy2	10608184	0.1	0.423830723741163	1.07421147054315				0.2	0.218340979039089	1.69466106525803	0.1	0.768284819289654	0.47896803850128			
ENSMUSG00000000125	Wnt3	10381738				-0.1	0.643394883799275	-0.779034019939109	-0.2	0.121310368362346	-2.15200636520359						
ENSMUSG00000000126	Wnt9a	10376490							-0.1	0.402783873886289	-1.15458075440829						
ENSMUSG00000000127	Fer	10446351										-0.3	0.00302717320827642	-4.90388128226165	-0.2	0.091324205576847	-2.29565788052864
ENSMUSG00000000134	Tfe3	10598409	0.2	0.116567853159714	2.10888019457083				0.3	0.0101687357167229	4.09535255158924						
ENSMUSG00000000142	Axin2	10382228	-0.7	7.48608656866362E-4	-6.67604797073494	-0.3	0.0067488506268387	-4.40555732802027	-0.3	0.00747007838935496	-4.34917441837461	-0.4	7.00107364481835E-4	-6.02857831223135	-0.4	0.0041169162354034	-4.73091937535634
ENSMUSG00000000149	Gna12	10535273	0.1	0.330309724541954	1.29612749395267	0.2	0.0639624311591292	2.74129696083471	0.4	0.00301054770514197	5.18511342581982	0.3	0.014884045236856	3.71984161008866	0.4	0.00530369384253135	4.50717976640447
ENSMUSG00000000154	Slc22a18	10559297	-0.3	0.322336279882503	-1.31688867894251				0.1	0.252253630568596	1.5749284962119	-0.1	0.52895367128182	-0.949891244068954	0.2	0.15899680826868	1.87884403801499
ENSMUSG00000000157	Itgb2l	10441178	0.5	0.00441808028248696	4.72429096372367	0.2	0.0641052119585298	2.73882110255201	0.2	0.0228600888342037	3.42339906422545				0.2	0.0245309512355874	3.2711740227351
ENSMUSG00000000167	Pih1d2	10585206				0.1	0.288849967532472	1.59178303843174	0.1	0.498907885457675	0.949641992348378						
ENSMUSG00000000171	Sdhd	10593356	0.2	0.262275707921787	1.49270837979812												
ENSMUSG00000000182	Fgf23	10542028	0.6	0.0177639096074897	3.52047396046344	0.2	0.205800040403367	1.87336625076359	0.2	0.0266049394238563	3.30761014331859	0.2	0.198623004818286	1.830944992629	0.3	0.0258790052549577	3.22745549778044
ENSMUSG00000000183	Fgf6	10542023				-0.1	0.455532252268894	-1.16921621415403	-0.1	0.54318427889947	-0.859993062325935				0.1	0.251480611603119	1.51734416139833
ENSMUSG00000000184	Ccnd2	10548105	-0.5	0.0239446324678773	-3.28971855837312	-0.3	0.0176907200206514	-3.67223943294396	0.1	0.446672161599236	1.05786308150899				-0.1	0.707344056826655	-0.518125598074901
ENSMUSG00000000197	Nalcn	10422537				-0.1	0.402863073291082	-1.29070062144708									
ENSMUSG00000000202	Btbd17	10392791	0.3	0.0727533307362095	2.45907708490976	0.2	0.177400516347833	1.99009617753786	0.2	0.110371200545157	2.22347423654883	0.3	0.0354465889833737	3.09936649586437	0.2	0.232016271816356	1.5827262432299
ENSMUSG00000000204	Slfn4	10379636	1.0	0.0149730337008582	3.65395899119166	1.2	5.66736082573885E-5	8.88344372835569	1.2	2.21108460312049E-5	12.7025295295396	1.6	1.42108290979515E-6	15.197151851295	1.5	1.30681197899498E-4	9.03244596434838
ENSMUSG00000000214	Th	10569370	0.3	0.136623713180834	1.99359788210856	0.2	0.306321301025042	1.54183703759757									
ENSMUSG00000000215	Ins2	10569358				0.1	0.524235622270998	1.02552571869042									
ENSMUSG00000000216	Scnn1g	10557111	-0.3	0.162280958851622	-1.86749469671135	-0.3	0.439835508938519	-1.2040827282717	-0.8	0.00616658389954769	-4.52048227067513	0.2	0.364348213626813	1.31939559622553	-0.4	0.127712243669033	-2.04828608501201
ENSMUSG00000000223	Drp2	10601729										-0.1	0.243029487652454	-1.67171588605464			
ENSMUSG00000000244	Tspan32	10559248	0.4	0.0498813119318155	2.73801146305329	0.6	5.43932452118894E-4	6.5161637066857	0.8	1.98744953067038E-4	8.31400890708839	0.6	5.83171011802832E-5	8.28697957260369	0.7	0.00163177407043236	5.60706303663445
ENSMUSG00000000247	Lhx2	10471833	0.1	0.495276082703006	0.922575575633584	0.1	0.50305024772008	1.07000332003831	-0.1	0.744691548360583	-0.489091184466135	0.1	0.788920312036848	0.435675473138401	0.1	0.544497375632898	0.815804675838907
ENSMUSG00000000248	Clec2g	10542129				0.2	0.0255098437680914	3.39551341761371	0.3	0.00641297293745895	4.4826196795249	0.1	0.409743300632282	1.20807299673309	0.3	0.0747181652216253	2.44415778697361
ENSMUSG00000000253	Gmpr	10404885	-1.0	1.79956696548108E-4	-8.74907956839716	-0.5	2.49456350061516E-4	-7.26764719089936	-0.7	1.8515359509962E-4	-8.43969364469813	-0.7	6.35155630850479E-4	-6.11472827213923	-0.6	4.52861395375161E-4	-7.11737021348279
ENSMUSG00000000263	Glra1	10386076				-0.1	0.734708197300007	-0.597896127117759									
ENSMUSG00000000266	Mid2	10602068	-0.3	0.0474717063577858	-2.77504894945696												
ENSMUSG00000000275	Trim25	10380260	0.2	0.0739711300547654	2.44606901336262	0.2	0.142219701391198	2.15815387985969	0.3	0.00748980395327645	4.34593696940844	0.3	0.0524018837191931	2.82482277999177	0.3	0.0266806167401768	3.20502034184894
ENSMUSG00000000278	Scpep1	10389719	0.6	8.42198126260218E-4	6.54317774478529	0.4	0.00219895338124158	5.30090577198231	0.4	6.95549312267605E-4	6.70037922395469	0.3	0.0060775437263113	4.37990346039056	0.5	3.64049795559396E-4	7.37329629135822
ENSMUSG00000000290	Itgb2	10364262	2.2	0.00426789311717033	4.75878003542488	1.4	3.57612167993014E-6	13.7457906019052	1.4	1.03882003670122E-4	9.39549509058918	1.5	1.83674270230962E-6	13.9972590833198	1.4	3.30865517761324E-4	7.56148046444224
ENSMUSG00000000295	Hddc2	10362394	0.3	0.0855427939039536	2.33861128000839	0.3	0.00402008125146956	4.8093540223191				0.2	0.168243802015049	1.96145876896358			
ENSMUSG00000000296	Tpd52l1	10368566	-0.2	0.278099736645502	-1.44443606890244	0.1	0.732892418644243	0.60160318590539	-0.2	0.230495014434694	-1.64965610614711	-0.3	0.044448092557589	-2.94009125523703	-0.1	0.557306211784518	-0.790276883197752
ENSMUSG00000000303	Cdh1	10575052	-0.4	0.0367104252072614	-2.96727106262983	-0.2	0.053819605830015	-2.86343537674315									
ENSMUSG00000000308	Ckmt1	10475324	-0.9	0.00191486167949129	-5.57627154903976	-0.5	0.00646613204389068	-4.43601186659045	-0.6	0.00406281303436357	-4.91317158925102	-0.2	0.183819758115045	-1.89470858750195	-0.5	0.015595183794086	-3.61600386879132
ENSMUSG00000000317	Bcl6b	10387797	0.1	0.819432899208182	0.320685372322061				-0.1	0.354135284809937	-1.27764748776438						
ENSMUSG00000000318	Clec10a	10377782	0.4	0.0176384460214824	3.52606891688087	0.2	0.316686593712505	1.51319162127234	0.2	0.236411398334131	1.62821289597747	0.3	0.0793624574860196	2.51884916253613	0.1	0.421072523734336	1.06645101523908
ENSMUSG00000000320	Alox12	10387821	0.2	0.340770919511188	1.26964536029935	0.2	0.133236298370392	2.20742774150075	0.6	0.0222694790960856	3.44194854719954	0.1	0.43182853718211	1.15658760213183	0.3	0.232421464240247	1.58107654185874
ENSMUSG00000000339	Rtca	10501649													-0.1	0.38171344163183	-1.15639100184849
ENSMUSG00000000340	Dbt	10495549	-0.4	0.00965873226167597	-4.02078735251407	-0.3	0.00590606611480265	-4.50501345294024	-0.4	0.00174385186857443	-5.70553753495994	-0.4	0.00418809316267974	-4.6639109356674	-0.3	0.00772304164692189	-4.17945436183048
ENSMUSG00000000355	Mcts1	10599335	-0.3	0.0799221962391362	-2.38944630345433	-0.5	0.0110498017303631	-4.02354012233366	-0.3	0.0323086275815605	-3.15780941082995	-0.2	0.166726997841062	-1.96872228825542	-0.4	0.0259307325104358	-3.22578102290039
ENSMUSG00000000359	Rem1	10477140							0.1	0.514146849994707	0.919103414504187						
ENSMUSG00000000365	Rnf17	10415472										-0.1	0.553940730072884	-0.89914729283531			
ENSMUSG00000000378	Ccm2	10374185				0.2	0.173509714852336	2.00781170571713	0.2	0.0357388793273318	3.08513404014322	0.2	0.0391881682790272	3.03149842874678	0.2	0.0581412000333478	2.63320944879077
ENSMUSG00000000381	Wap	10384212							0.1	0.454777152632401	1.03990838939112				0.1	0.260866684138359	1.48501381089888
ENSMUSG00000000384	Tbrg4	10384192	0.2	0.206020658969523	1.68544043513704												
ENSMUSG00000000385	Tmprss2	10441254	-0.3	0.210401374198792	-1.66896222639998				-0.1	0.667199599192813	-0.62780572054499						
ENSMUSG00000000386	Mx1	10441233	0.4	0.015549135647598	3.62504933464768	0.2	0.0707494371011947	2.66776463899738	0.2	0.213829851779556	1.71238782138536	0.2	0.251567460530789	1.64222702327436	0.2	0.33449368458622	1.2756502856607
ENSMUSG00000000392	Fap	10483081	-0.4	0.0646684575499529	-2.54338798454544	-0.4	0.0224277942718061	-3.48926291460934	-0.3	0.0434795150099869	-2.92736145850018	-0.3	0.0682213771224199	-2.62956598741038	-0.1	0.372802302857828	-1.178143924697
ENSMUSG00000000394	Gcg	10483074	-0.2	0.546820750793869	-0.820327726138933	-0.2	0.577055497466081	-0.912966302580021	-0.3	0.425246805949878	-1.10444430893421	-0.4	0.0934172060886748	-2.40161215206227	-0.3	0.250010600255239	-1.52190132080288
ENSMUSG00000000399	Ndufa9	10548057	-0.2	0.236793112132865	-1.57758686164868				-0.2	0.0441897766105665	-2.91346601155063	-0.2	0.0890029060626018	-2.43593463452616	-0.2	0.112660562094768	-2.14164093007336
ENSMUSG00000000402	Egfl6	10607848	-0.1	0.784133118749206	-0.381356942343842												
ENSMUSG00000000409	Lck	10516620	0.8	0.00130236176940781	6.02194814321895	0.9	2.90875094264031E-4	7.11597156601175	0.9	7.60841092982931E-4	6.58587826464698	0.9	4.66566291919151E-5	8.5162418392431	0.9	5.36927151125905E-4	6.88281467421159
ENSMUSG00000000411	Tssk3	10516602	0.1	0.592524898923435	0.733344183402339	0.2	0.0713752355713879	2.66076680830251	0.2	0.150632412933224	1.98923315040823	0.2	0.0739356817040217	2.57134270136293	0.3	0.0112658515246163	3.86989221962436
ENSMUSG00000000416	Cttnbp2	10543273	-0.8	0.00764299758047393	-4.21471651500267	-0.3	0.0104522515241261	-4.0705471185132	-0.2	0.135602149065503	-2.06888176711177	-0.4	0.0101983079707683	-3.99382303382168	-0.3	0.0340318556372715	-3.02614571786389
ENSMUSG00000000420	Galnt1	10454310	0.2	0.11849537855246	2.09812643010978	0.2	0.0149061120383525	3.79898492703849									
ENSMUSG00000000439	Mkrn2	10540923	-0.3	0.0277887911130146	-3.17652670139255	-0.2	0.0639982494920203	-2.74028063118431	-0.2	0.156884424417292	-1.95399843263476	-0.2	0.147311467889954	-2.06618878549689			
ENSMUSG00000000440	Pparg	10540897	0.1	0.712567775829347	0.5119753778352	0.2	0.159391011599001	2.07017759747924	0.2	0.296655494946733	1.4359835354383				0.3	0.231820954117431	1.58360679519382
ENSMUSG00000000486	Septin1	10568215										0.1	0.569600007261406	0.869665575566857			
ENSMUSG00000000489	Pdgfb	10430660	0.3	0.0998779059560256	2.22431116979603	0.3	0.0159671381613734	3.74982450458034	0.3	0.0164100364436406	3.69500568517065	0.3	0.0261952102287234	3.32000918208686	0.3	0.0256890377670641	3.23377552537399
ENSMUSG00000000530	Acvrl1	10426999	0.1	0.502562259487919	0.907414393516961												
ENSMUSG00000000531	Tamalin	10427026	0.1	0.589825802517311	0.738292079436909				0.2	0.0140909427013837	3.82089407907168				0.1	0.213192001568316	1.64874409510594
ENSMUSG00000000538	Tom1l2	10386495	-0.4	0.0020224445736543	-5.52601012707483	-0.3	0.00128165488050943	-5.75506554253558				-0.3	0.0185365332107188	-3.55666267263368			
ENSMUSG00000000544	Gpa33	10351368	-0.1	0.43200217102243	-1.05526464784505												
ENSMUSG00000000552	Zfp385a	10433104	0.2	0.311774310163951	1.34783368264305	0.1	0.244969267206648	1.73436840206754	0.3	0.0495231435861006	2.82921817979552	0.2	0.168078467657676	1.96233968170148	0.3	0.0275934591884813	3.18091765203322
ENSMUSG00000000555	Itga5	10433114				-0.3	0.158673198653952	-2.07332820943298				0.2	0.356347244175252	1.33976010506383			
ENSMUSG00000000560	Gabra2	10530406							-0.1	0.676821956243733	-0.609656078782856	-0.1	0.693872238299591	-0.624517827567911	-0.1	0.672394136932525	-0.579695305351647
ENSMUSG00000000562	Adora3	10495107	0.5	0.089550656540055	2.30666190994519	0.1	0.410259017843241	1.27417841895187									
ENSMUSG00000000567	Sox9	10382328	-0.9	0.0052464976247899	-4.56714614560671	-0.3	0.02928109615844	-3.29213301086738	-0.4	0.00612622410151172	-4.52655879219254				-0.4	0.00678821698083504	-4.29357047828339
ENSMUSG00000000568	Hnrnpd	10531633							-0.2	0.0151869073587718	-3.76226224724915				-0.2	0.017709618688732	-3.51811466953111
ENSMUSG00000000581	C1d	10374442													-0.3	0.0364731873998393	-2.97748079185956
ENSMUSG00000000594	Gm2a	10376208	0.1	0.68372826935663	0.565098042250425	0.3	0.165019104732225	2.0444388275868	0.3	0.147133656279141	2.0081755901279	0.5	0.00807531866158372	4.16303047225218	0.4	0.0735548668119974	2.45717484362834
ENSMUSG00000000600	Krit1	10519392				-0.1	0.759568449741429	-0.548870519307933	-0.2	0.206404455964415	-1.74055974917098	-0.1	0.702235194765781	-0.608285881883176	-0.2	0.166553229918336	-1.84088219416683
ENSMUSG00000000627	Sema4f	10545608				-0.1	0.707240168280112	-0.648302289361835				-0.1	0.792689252896588	-0.429108305756656	-0.1	0.716046303015732	-0.502603751359764
ENSMUSG00000000628	Hk2	10545588	0.9	0.00132103547275352	5.9968471333901	0.1	0.767237237826514	0.534191497112975				0.1	0.720452508587715	0.571395212848799	0.1	0.383068487107723	1.15275508742691
ENSMUSG00000000631	Myo18a	10378914	0.2	0.327261295890452	1.30390581693974												
ENSMUSG00000000673	Haao	10453260	0.3	0.187754085234564	1.75742405752738	0.5	0.0109257880191302	4.03250315214468	0.6	0.0194525662887996	3.550983020684	0.6	0.00256918942953534	5.03336172676268	0.7	0.00298704201384874	5.02617548599198
ENSMUSG00000000682	Cd52	10517165	2.1	0.00337846101266617	4.98224935599406	2.2	5.75372692064598E-6	13.0553481177114	1.7	4.60093762574416E-4	7.14915525184855	2.1	2.95807531093788E-6	13.2101247424271	1.8	6.44485679551158E-4	6.64496249803261
ENSMUSG00000000690	Hoxb6	10380637	0.4	0.265690140450981	1.48279293381263	0.6	0.0524863641169804	2.88098556145547	0.1	0.682929051613082	0.599570451981484				0.1	0.601911749485146	0.706476094357599
ENSMUSG00000000693	Loxl3	10539263	0.2	0.400089465638874	1.1284844338045	0.2	0.2100405323176	1.85609131305986	0.2	0.019633873918033	3.54182571298281				0.3	0.00447123697536735	4.66096441578468
ENSMUSG00000000701	Tcl1b5	10398100	0.1	0.382114830176496	1.1691733145694				-0.1	0.519707036311721	-0.907506397773063	0.2	0.155810418279373	2.02212446337571	0.1	0.552368380578619	0.800324163384475
ENSMUSG00000000708	Kat2b	10445909							-0.2	0.0545158118280283	-2.75839009179243						
ENSMUSG00000000724	Cryba1	10388707				0.1	0.411389124774423	1.27161894267472	0.1	0.423640571580251	1.10848589546843	0.1	0.427308575617124	1.16772054768145			
ENSMUSG00000000730	Dnmt3l	10364346										0.1	0.631510000768637	0.748217217379849			
ENSMUSG00000000731	Aire	10370397							0.1	0.533661404022853	0.880591339170198						
ENSMUSG00000000732	Icosl	10364361	-0.1	0.472713847823398	-0.968343500763483	0.2	0.0796200458267943	2.58161690793825	0.2	0.194067407410028	1.78989252166451	0.3	0.00830395859699193	4.14257792605946	0.2	0.272145742269367	1.4505304989683
ENSMUSG00000000743	Chmp1a	10582474	-0.3	0.071053758623318	-2.47695029281063							-0.1	0.722244695341839	-0.567930249644127			
ENSMUSG00000000751	Rpa1	10388409	0.2	0.152042942463526	1.91417096700974	0.1	0.36748623597751	1.37742032450619	0.1	0.403590232379454	1.15291494758682	0.1	0.255604571562587	1.6276584325359			
ENSMUSG00000000753	Serpinf1	10388430	-0.1	0.656545988590641	-0.612347333905458										0.1	0.486863769972317	0.927944587323313
ENSMUSG00000000759	Tubgcp3	10577070				-0.2	0.0709050276194296	-2.66619123064627									
ENSMUSG00000000776	Polr3d	10421351				0.1	0.338671973526968	1.45265873645494				0.2	0.0502428794634119	2.85287336175426			
ENSMUSG00000000782	Tcf7	10385776	0.1	0.75325140920702	0.436601359949579	0.2	0.396721705459722	1.30574872477175	0.5	0.0295629643291882	3.2261272638057	0.3	0.0230833145239522	3.40599675042517	0.3	0.127900677366032	2.04705841475636
ENSMUSG00000000787	Ddx3x	10598723													-0.3	0.00332666712323592	-4.92677344287335
ENSMUSG00000000791	Il12rb1	10572497	0.6	0.0088200328992699	4.09102992872827	0.3	0.0124334531122596	3.93283053472657	0.3	0.0206667291124467	3.49977853482426	0.2	0.0647586339006295	2.67220887002216	0.4	0.00757318914862961	4.19550874102516
ENSMUSG00000000792	Slc5a5	10579442	0.3	0.0365325046450381	2.97061109363358	0.2	0.333296229563002	1.46784276592479	0.1	0.613043790199247	0.726797909520819				0.1	0.568863917399619	0.767921018597305
ENSMUSG00000000794	Kcnn3	10493555	-0.4	0.17078971028172	-1.82993879718251	-0.3	0.00662774003913239	-4.41953981448349	-0.2	0.288061347501825	-1.46141165087756	-0.5	0.0031677041054442	-4.86586014114148	-0.2	0.253448343496079	-1.51042360720377
ENSMUSG00000000804	Usp32	10389339	-0.2	0.141907818981733	-1.96604489232678							-0.2	0.028804638362449	-3.24820352069348	-0.3	0.0114077446298502	-3.85952110099613
ENSMUSG00000000805	Car4	10379866	-1.1	0.00158976503757578	-5.79025457495637	-0.6	8.89534040673711E-4	-6.07135785992514	-0.7	0.00158757474835495	-5.79973151035658	-0.3	0.0219426589158555	-3.43937874885301	-0.6	0.0372034075800783	-2.96400585348615
ENSMUSG00000000811	Txnrd3	10539933	-0.6	0.00409370196280202	-4.79610310893457	-0.2	0.333526733876168	-1.46705147330479	-0.1	0.428714301404171	-1.09678199640757	-0.2	0.283819472839582	-1.53973868760436	-0.2	0.256472984422333	-1.50091268993261
ENSMUSG00000000817	Fasl	10359434				0.2	0.120544155219499	2.28023338760454							0.2	0.0488741967370706	2.75996009694025
ENSMUSG00000000823	Zfp512b	10490706	-0.4	0.00819109917521943	-4.1529082471353	-0.3	0.0233648905023723	-3.46143968830942	-0.2	0.129676165169245	-2.10152705595896	-0.2	0.155928984985079	-2.02129280336571	-0.2	0.0864517090800085	-2.33682499583618
ENSMUSG00000000838	Fmr1	10599893				-0.2	0.144774936907113	-2.14390853563687	-0.2	0.0345308535911859	-3.11066283580902	-0.3	0.0289079541492181	-3.24526490445558	-0.3	0.0192243304440316	-3.45469706062914
ENSMUSG00000000861	Bcl11a	10374727	-0.2	0.291013511764948	-1.4057195163418	0.3	0.0126980627816075	3.91779325800736	0.3	0.0150531397544805	3.77099898427				0.3	0.0714862329508653	2.48007234134097
ENSMUSG00000000869	Il4	10385832													-0.1	0.59784927237463	-0.714350597784704
ENSMUSG00000000876	Pxmp4	10488797	-0.5	0.0400183766873434	-2.90252655064552							-0.2	0.193542372731995	-1.85207671126831			
ENSMUSG00000000884	Gnb1l	10434211				0.1	0.364755789090068	1.38446167950674	0.2	0.0795989014633072	2.46872654656398						
ENSMUSG00000000889	Dbh	10470412	0.2	0.661400729927343	0.602347210967674	-0.4	0.0534306200730778	-2.86906246967935	-0.2	0.152289285422491	-1.97830759203804	-0.1	0.592864583778633	-0.822590707800335	-0.1	0.349023046107399	-1.23840809787485
ENSMUSG00000000901	Mmp11	10370037							0.2	0.043419866925572	2.92928908817849				0.2	0.0772494693343915	2.41869948951756
ENSMUSG00000000902	Smarcb1	10370025	0.4	0.00445674649814063	4.71497088355722										0.2	0.0548155937416423	2.67743709247011
ENSMUSG00000000903	Vpreb3	10364109				0.4	0.0198262076776158	3.5858571423439	0.3	0.201068044857896	1.76178219175646	0.3	0.0689601759505793	2.6222080336601	0.4	0.0458069906361028	2.80777487858017
ENSMUSG00000000915	Hip1r	10525677	0.3	0.0388625916283469	2.92359708867566	0.3	0.0189199174761605	3.62312523238416	0.3	0.0169524065098038	3.66672373421969				0.3	0.00890366200134532	4.0706275011456
ENSMUSG00000000934	Top1mt	10429607													-0.2	0.213570798548004	-1.64745887478276
ENSMUSG00000000938	Hoxa10	10544798	-0.4	0.14859763908048	-1.93208064257434				-0.1	0.451576991679791	-1.04745110611313				-0.1	0.565926574883775	-0.773482577011178
ENSMUSG00000000942	Hoxa4	10544763	-0.2	0.257804109733446	-1.50578504493379												
ENSMUSG00000000957	Mmp14	10415052	0.8	0.00704570739773698	4.27939728050473	0.3	0.0116384671234568	3.98400951229628	0.5	0.00108513923702471	6.20598833630106	0.4	0.00765034873941415	4.2032027930695	0.5	0.00324131192458515	4.95312791424011
ENSMUSG00000000958	Slc7a7	10419744	0.2	0.0776074897440516	2.41270587079919							0.2	0.0264577599669478	3.31278843137543	0.4	0.0031662315874246	4.97181158329651
ENSMUSG00000000959	Oxa1l	10415030	-0.2	0.0541618019849705	-2.6747078583222	-0.1	0.235179436384124	-1.76653573655796									
ENSMUSG00000000982	Ccl3	10389231	3.2	0.00695783122325019	4.29052145668138	1.0	4.38290109039777E-5	9.20647453606415	0.8	9.7418510244035E-4	6.32139891453723	1.6	8.5348939078414E-4	5.87619005885437	1.4	1.33058908528732E-5	13.2159278344868
ENSMUSG00000000983	Wfdc18	10379731	1.7	3.59501091033144E-4	7.79475821007136	2.1	1.98725914924425E-7	20.9516410808229	1.4	7.60841092982931E-4	6.58512302196446	2.5	2.57413955254099E-5	9.290113157947	1.9	0.00107659144340955	6.05110375614439
ENSMUSG00000001014	Icam4	10583529				0.1	0.347163299400333	1.42999452135235							0.1	0.363117794674826	1.20275324811778
ENSMUSG00000001017	Chtop	10499847				-0.1	0.670557545617278	-0.721433463562829									
ENSMUSG00000001018	Snapin	10343253	-0.4	0.00443094185934368	-4.71928940676608							-0.1	0.669080227031822	-0.673938985009066			
ENSMUSG00000001021	S100a3	10493803							0.5	0.0212475163549193	3.47974536097174				0.3	0.0581385654715701	2.6333402470143
ENSMUSG00000001025	S100a6	10493820	-0.4	0.00360818201296017	-4.91910189320454										-0.3	0.00420688002948202	-4.71196441222466
ENSMUSG00000001027	Scn4a	10392152				0.2	0.241159853766563	1.74701082501569							0.2	0.1691651712102	1.8280817147697
ENSMUSG00000001029	Icam2	10392177	0.4	0.0389539316960672	2.92179729329585	0.2	0.0290511972956918	3.29715667827403	0.3	0.0317081734476322	3.17272317824526	0.3	0.0452647141804141	2.92628954949235	0.5	0.00359594004817794	4.85238248177182
ENSMUSG00000001036	Epn2	10386743	0.4	0.123220745014848	2.06965405478248				0.2	0.0846093654188292	2.4220884355789						
ENSMUSG00000001039	B9d1	10376787							0.2	0.112601090963179	2.20761474169911				0.2	0.249966152257756	1.52215705725249
ENSMUSG00000001053	N4bp3	10385709	0.3	0.144073889273173	1.9544147489382	0.2	0.100726812154992	2.41259194263759	0.4	0.0430976395254836	2.93633253209093	0.3	0.0303952839391567	3.20927374185706	0.3	0.0375899563410006	2.95692427893832
ENSMUSG00000001054	Rmnd5b	10385699				-0.1	0.602110031875732	-0.860225861160554									
ENSMUSG00000001056	Nhp2	10375880	0.6	0.0148803982890318	3.65942203069204	0.3	0.0141661951475829	3.83388402281004	0.3	0.0226306787064922	3.43023972383561				0.2	0.108467553494728	2.17020060641289
ENSMUSG00000001065	Zfp276	10576274				-0.1	0.244969267206648	-1.73434002657341									
ENSMUSG00000001076	C1ql4	10432408										0.1	0.266274261802066	1.59372616665221	0.2	0.139151510829704	1.98242659794296
ENSMUSG00000001082	Mfsd10	10529410	0.2	0.294623698461287	1.39524973926846				0.3	0.0141116511996266	3.81913658472279				0.3	0.0601418499881629	2.60681979189356
ENSMUSG00000001089	Luzp1	10509246							-0.3	0.0128896236138881	-3.89694863550931	-0.2	0.0445214773195872	-2.93890033681321	-0.2	0.0259364629430091	-3.22551983986445
ENSMUSG00000001095	Slc13a2	10388834	0.1	0.68409749841476	0.563896491234253	0.1	0.681635596596974	0.696559570127157	0.2	0.384818072660541	1.19912579117156	0.1	0.693454368526858	0.626442404186461	0.3	0.171902573395091	1.81584742756217
ENSMUSG00000001103	Sebox	10379200							-0.3	0.0506396373848665	-2.8120781672899	-0.1	0.454338095245255	-1.10645651918912	-0.1	0.472391578459823	-0.957458756544396
ENSMUSG00000001119	Col6a1	10370210	-0.3	0.187469914423339	-1.75859296626677				0.2	0.172801369259019	1.87846911183341						
ENSMUSG00000001120	Pcbp3	10370242	-0.1	0.557732328422054	-0.797926895918435							-0.2	0.0307150397472348	-3.20080489072827			
