Gene ID	Gene Name	Design Element	condition1.foldChange	condition1.pValue	'2 week' vs '0 week'.tStat	condition2.foldChange	condition2.pValue	'4 week' vs '0 week'.tStat	condition3.foldChange	condition3.pValue	'6 week' vs '0 week'.tStat
ENSMUSG00000000811	Txnrd3	1423869_s_at	-0.3	0.0134711065568397	-5.28944688058371	-0.5	5.52849346369329E-4	-6.89428648241594	-0.2	0.10755988713525	-2.09679361899789
ENSMUSG00000000817	Fasl	1418803_a_at	0.1	0.556971344416067	1.06886124100691	0.3	0.0261610498556284	3.17028610727587	1.1	6.83596482558736E-5	9.30100855599869
ENSMUSG00000000823	Zfp512b	1436184_at				-0.2	0.0202519894624023	-3.37141172666661			
ENSMUSG00000000838	Fmr1	1423369_at				0.2	0.0240928718244409	3.23579946467212			
ENSMUSG00000000869	Il4	1449864_at							0.2	0.0611628300318308	2.5000208969183
ENSMUSG00000000876	Pxmp4	1422780_at				-0.2	0.107421321915757	-2.11238530286573	-0.2	0.250120547634003	-1.45898587619267
ENSMUSG00000000881	Dlg3	1416918_at				0.2	0.0356122794135953	2.93085965879845			
ENSMUSG00000000884	Gnb1l	1419316_s_at							0.2	0.20777292518483	1.60244184827697
ENSMUSG00000000889	Dbh	1450670_at				-0.6	0.0019844058510144	-5.43059568413449			
ENSMUSG00000000901	Mmp11	1417234_at				-0.6	0.00124175010414244	-5.92337609474155	-0.5	0.0029334983980988	-4.92883234841186
ENSMUSG00000000902	Smarcb1	1416045_a_at				0.2	0.0448939757827762	2.75355196544734	0.3	0.00655065120860348	4.21529338421706
ENSMUSG00000000903	Vpreb3	1422921_at							0.1	0.240558007349333	1.49084688392844
ENSMUSG00000000915	Hip1r	1425553_s_at				0.4	0.00210007442283292	5.36897554414961	0.3	0.0196251665288605	3.33162565437035
ENSMUSG00000000916	Nsun5	1434289_at							0.2	0.0319334117954553	2.97120489823171
ENSMUSG00000000934	Top1mt	1460370_at							0.1	0.314708899887775	1.2684312323137
ENSMUSG00000000938	Hoxa10	1431475_a_at	0.2	0.239482528885897	2.02454648995797	0.3	0.00570913354697754	4.420159316905	0.2	0.0239895140869709	3.18213808649914
ENSMUSG00000000942	Hoxa4	1427354_at				-0.2	0.142416063941275	-1.90284552658609			
ENSMUSG00000000957	Mmp14	1448383_at							0.3	0.0247048795367065	3.16019728402955
ENSMUSG00000000959	Oxa1l	1451088_a_at				-0.3	0.00621764549027432	-4.34665157651765			
ENSMUSG00000000976	Heatr6	1424686_at				0.3	0.00487832872314858	4.56376551141309			
ENSMUSG00000000982	Ccl3	1419561_at				-0.1	0.734085517204246	-0.446972577597735	1.3	2.7169505630833E-4	7.5035092613636
ENSMUSG00000000983	Wfdc18	1417160_s_at	-0.3	0.485656186136558	-1.27682355944316	0.3	0.30135530176254	1.31850727912558	0.3	0.246592084110527	1.47055411553188
ENSMUSG00000001014	Icam4	1422930_at				-0.1	0.505700766211967	-0.854763496367515	0.1	0.523763145000256	0.811802472103001
ENSMUSG00000001017	Chtop	1423408_a_at				0.1	0.148016580767696	1.87359428497444	0.1	0.544238013121191	0.772136900465793
ENSMUSG00000001018	Snapin	1415756_a_at				-0.6	3.59447870845008E-4	-7.46786013141901			
ENSMUSG00000001021	S100a3	1421856_at				0.1	0.322260276057318	1.26142175188708	0.4	0.106125011478204	2.10674940974856
ENSMUSG00000001023	S100a5	1449927_at				-0.2	0.0919487278349501	-2.22587256895664	0.2	0.178742507468919	1.71905718392518
ENSMUSG00000001027	Scn4a	1450557_at				-0.1	0.197248770737596	-1.65531218791095			
ENSMUSG00000001029	Icam2	1448862_at	0.2	0.287854292761524	1.84933837338791	-0.1	0.340113288514756	-1.21523103180686	0.3	0.0226590789444967	3.22753938931091
ENSMUSG00000001039	B9d1	1417596_at							0.3	0.014803939231586	3.55051233543057
ENSMUSG00000001052	Sec24b	1426848_at				0.2	0.0585472928956337	2.55709778511942			
ENSMUSG00000001053	N4bp3	1451123_at	0.1	0.577191654793672	1.02545588045111	0.3	0.146957550916258	1.87917312815745	0.2	0.0567287542726153	2.556576344948
ENSMUSG00000001056	Nhp2	1416606_s_at				0.4	0.00217063973290556	5.33905677852197	0.6	0.00140439129628552	5.6428095527415
ENSMUSG00000001065	Zfp276	1418312_at				0.2	0.0552807603426368	2.59998689477771			
ENSMUSG00000001082	Mfsd10	1416358_at				0.2	0.0309685427020043	3.04171549302525	0.3	0.0114671748225569	3.74918521010671
ENSMUSG00000001089	Luzp1	1416469_at							-0.2	0.017220365445414	-3.43214109715834
ENSMUSG00000001095	Slc13a2	1418857_at	-0.4	0.0066156009878584	-6.85648900286002				-0.2	0.110381568103359	-2.07718627906254
ENSMUSG00000001100	Poldip2	1450727_a_at				-0.2	0.0115783121279976	-3.81478362124686			
ENSMUSG00000001103	Sebox	1457946_at				-0.2	0.0838340927936117	-2.29447932644863			
ENSMUSG00000001105	Ift20	1451412_a_at				0.1	0.150616530847482	1.86100377867806	-0.1	0.274745644715413	-1.37958126748481
ENSMUSG00000001119	Col6a1	1448590_at				-0.7	1.17433597198187E-4	-9.45358181117886	-0.5	0.00127790781702127	-5.7334893690768
ENSMUSG00000001120	Pcbp3	1417526_at				-0.3	0.0311702992478817	-3.03651991423515	-0.3	0.00703166503604894	-4.15156662365137
ENSMUSG00000001123	Lgals9	1421217_a_at				0.2	0.179257732956339	1.72923935013785	0.9	5.40386254128181E-5	9.66732201469478
ENSMUSG00000001127	Araf	1435566_s_at				-0.5	8.86696253522157E-4	-6.33098441240485			
ENSMUSG00000001128	Cfp	1452279_at				0.1	0.599688697776546	0.681049267849322	1.2	5.46156726892262E-5	9.64975085305954
ENSMUSG00000001131	Timp1	1460227_at				0.1	0.362902263671954	1.15922282120276	1.1	1.51979357539892E-5	11.9254564840874
ENSMUSG00000001138	Cnnm3	1420481_at							-0.2	0.0151793435399412	-3.53262925659878
ENSMUSG00000001143	Lman2l	1435475_at				0.5	4.9174717592404E-4	7.06770668494904	-0.2	0.239218356993247	-1.49548427021994
ENSMUSG00000001150	Mcm3ap	1448711_at				0.1	0.185551207701721	1.7027640955498			
ENSMUSG00000001155	Ftcd	1419670_at	0.2	0.735411365971632	0.666146592329668	-0.1	0.355448966386158	-1.17713602679593			
ENSMUSG00000001157	Gmcl1	1417113_at				0.1	0.462868366192864	0.940962804243083			
ENSMUSG00000001158	Snrnp27	1460697_s_at				0.3	0.00223878954882777	5.30716604969781	0.4	0.00253128970118118	5.06208648509184
ENSMUSG00000001166	Oas1c	1418686_at	-0.2	0.214148890888743	-2.13393184476608	-0.3	0.0229441413457033	-3.27415949723252	0.2	0.133439081678148	1.93998335500913
ENSMUSG00000001168	Oas1h	1425049_at				-0.1	0.354853994162572	-1.17851597225747	0.1	0.686408603188219	0.519419235269421
ENSMUSG00000001173	Ocrl	1438396_at				-0.2	0.152643159655195	-1.85022440387618	-0.4	0.00987252017721182	-3.87051400931591
ENSMUSG00000001225	Slc26a3	1429467_s_at							-0.4	0.00772794468223123	-4.07467570113586
ENSMUSG00000001227	Sema6b	1448790_at							0.2	0.251056757223949	1.45597216945886
ENSMUSG00000001228	Uhrf1	1415810_at	0.3	0.101386809251188	2.85872039015026	0.9	5.35846438302825E-4	6.93251733960454	0.7	0.00386397530949283	4.67353774041534
ENSMUSG00000001229	Dpp9	1455884_at				0.4	0.00205052687180681	5.39296647922138	0.1	0.686852635843201	0.518256234296264
ENSMUSG00000001240	Ramp2	1418187_at				-0.4	0.00238035438670049	-5.24513338652376			
ENSMUSG00000001247	Lsr	1451255_at				-0.1	0.463967963540029	-0.938449530790393	-0.2	0.162053859922835	-1.79381974235828
ENSMUSG00000001248	Gramd1a	1416708_a_at				0.3	0.0326613915823526	2.99773252413249			
ENSMUSG00000001249	Hpn	1420712_a_at	0.1	0.713142685850571	0.709263769964493	-0.2	0.0318573537998774	-3.0168629971456	-0.3	0.014409582847805	-3.57152147911443
ENSMUSG00000001281	Itgb7	1418741_at	0.2	0.212366337407312	2.14249052362681	0.4	0.00365278134846116	4.84072295020298	1.0	1.1588702620004E-4	8.56458852339545
ENSMUSG00000001288	Rarg	1419415_a_at							-0.2	0.0693177343397114	-2.40966038758451
ENSMUSG00000001289	Pfdn5	1460637_s_at				-0.2	0.049797993872987	-2.67549109936937	-0.2	0.272553493895434	-1.38595895368424
ENSMUSG00000001300	Efnb2	1419639_at				0.2	0.240659388337416	1.500709702343			
ENSMUSG00000001305	Rrp15	1417096_at				0.5	7.85228298872362E-4	6.4701906076793	0.5	0.00231036621521292	5.1461920507992
ENSMUSG00000001323	Srr	1455045_at				-0.4	0.0035969223353785	-4.85582487732763	-0.3	0.00881025532994149	-3.96333564029666
ENSMUSG00000001333	Sync	1432349_a_at							0.2	0.211047401623308	1.59074396020819
ENSMUSG00000001334	Fndc5	1435115_at				-0.6	8.99924655727181E-4	-6.31173512017718	-0.6	4.42988396316189E-4	-6.91043863454843
ENSMUSG00000001348	Acp5	1431609_a_at				-0.4	0.00172030619533746	-5.57448098624924	-0.3	0.0091500316832833	-3.93174732196225
ENSMUSG00000001349	Cnn1	1417917_at				-0.6	0.00904935364964441	-4.01396577324093	-0.8	7.85918290447542E-4	-6.2594863225095
ENSMUSG00000001366	Fbxo9	1417480_at							-0.2	0.048663151128383	-2.66751065682088
ENSMUSG00000001376	Vps50	1432094_a_at							0.2	0.0246079290544327	3.16330093455093
ENSMUSG00000001380	Hars	1438510_a_at				0.7	1.74189790004018E-4	8.70706037033473	0.6	0.00222337718886837	5.18811368956641
ENSMUSG00000001383	Zmat2	1417536_at				0.2	0.101740742675318	2.15114832276003			
ENSMUSG00000001403	Ube2c	1452954_at	0.2	0.439692508144419	1.39190360242579	0.6	1.17227056213272E-4	9.46687360536776	0.6	4.65372335498485E-4	6.8550134758961
ENSMUSG00000001416	Cct3	1416024_x_at				0.4	0.00305465755497109	5.00575817470697	0.3	0.0143546255358216	3.5747885637341
ENSMUSG00000001418	Glmp	1416830_at				-0.2	0.0109863437370213	-3.85704019901663			
ENSMUSG00000001419	Mef2d	1434487_at				-0.1	0.187558924804314	-1.69415796741985			
ENSMUSG00000001420	Tmem79	1430483_a_at							0.2	0.0615967978361934	2.49371257180922
ENSMUSG00000001424	Snd1	1416038_at				0.2	0.0704626239327754	2.42365004746492	0.4	0.00529129227381195	4.39968181939699
ENSMUSG00000001435	Col18a1	1426955_at				-0.2	0.0464457498846423	-2.72734600759056	0.2	0.148738135251619	1.85781171667611
ENSMUSG00000001436	Slc19a1	1420138_at				-0.1	0.219381135823293	-1.57349574542812	0.1	0.342016560171824	1.1986618987566
ENSMUSG00000001440	Kpnb1	1451967_x_at				0.4	0.0234817612573402	3.25716295599063	0.4	0.0290298638414968	3.04109536579596
ENSMUSG00000001441	Npepps	1417385_at				0.4	0.0494844022840624	2.68123276294642	-0.2	0.330868556741672	-1.22687071972009
ENSMUSG00000001444	Tbx21	1449361_at	0.3	0.114551262837953	2.72390531911551	0.9	0.00405593014675196	4.73897028025359	1.5	8.10062015210091E-5	9.0845586465314
ENSMUSG00000001467	Cyp51	1450646_at				0.1	0.316680695165752	1.27708680506023			
ENSMUSG00000001472	Tcf25	1424053_a_at				-0.2	0.0435625086002853	-2.77695459928648			
ENSMUSG00000001473	Tubb6	1416431_at	0.3	0.0116773909537386	5.59272068157048	-0.2	0.0751050515925328	-2.37512784582251			
ENSMUSG00000001482	Def8	1415853_at							0.2	0.19919557894526	1.63501684721325
ENSMUSG00000001493	Meox1	1417595_at				-0.2	0.0133716268990363	-3.69451497381848			
ENSMUSG00000001496	Nkx2-1	1422346_at							0.2	0.14514636317304	1.87590343838942
ENSMUSG00000001497	Pax9	1421247_at				-0.1	0.218773638413571	-1.5759103135682	0.1	0.26740065011774	1.4019017299728
ENSMUSG00000001504	Irx2	1426298_at				0.1	0.459472516166782	0.947388604294542	0.2	0.0771401327848925	2.33352842325425
ENSMUSG00000001506	Col1a1	1423669_at				-0.9	3.96098846012656E-4	-7.34645462321691	-0.5	0.0588023561853537	-2.52970847569431
ENSMUSG00000001507	Itga3	1455158_at				0.3	0.00352675972573548	4.87038157350438	0.2	0.161055900025984	1.79914812402114
ENSMUSG00000001508	Sgca	1422654_at				-0.2	0.0936405560196923	-2.21190671069902	-0.2	0.151846577178867	-1.84227404474922
ENSMUSG00000001517	Foxm1	1448833_at							-0.2	0.0558990912808109	-2.56708854900492
ENSMUSG00000001518	Itfg2	1418032_at							0.3	0.303269241485191	1.29986517826918
ENSMUSG00000001520	Nrip2	1433792_at				-0.4	0.00479555734057166	-4.58147740639224	-0.1	0.418283220621498	-1.02377440502919
ENSMUSG00000001521	Tulp3	1449008_at				0.2	0.0423033393753492	2.79997063992539	0.3	0.0392698423670046	2.82083824322346
ENSMUSG00000001524	Gtf2h4	1448585_at				0.2	0.0119008649346625	3.79197704001283	0.3	0.0154582316549195	3.51828459268238
ENSMUSG00000001525	Tubb5	1416256_a_at				0.2	0.0360419478024586	2.92179644116422	0.3	0.00429550099091488	4.5792262079247
ENSMUSG00000001542	Ell2	1450744_at	-0.1	0.711193327172971	-0.712038527759275	-0.1	0.679255778088629	-0.539548945893357	-0.2	0.0980100964380402	-2.1641323080022
ENSMUSG00000001552	Jup	1426873_s_at	-0.3	0.0432746969251091	-3.80559697216113				-0.2	0.383317866510903	-1.1002169558969
ENSMUSG00000001555	Fkbp10	1415951_at				-0.5	3.59864305623465E-4	-7.46454636984827			
ENSMUSG00000001558	Klhl10	1423497_at	0.1	0.578937727712756	1.01997743807178	-0.1	0.506101931221737	-0.853902144112968			
ENSMUSG00000001566	Mnx1	1460299_at				-0.3	0.0154717065345386	-3.57950219750526	-0.3	0.0493915597834381	-2.65595297426785
ENSMUSG00000001576	Ergic1	1437908_a_at				-0.1	0.562731828966413	-0.747109023783593	-0.4	0.00440740431059671	-4.55837955562862
